"ID";"Visual";"Verbal";"Manipulation";"Orthographic"
"1";1;4.7;4.58;2.88;4.29
"2";2;5;4.75;3.75;3.71
"3";3;3.6;4.83;2.5;2.57
"4";4;3.3;2;3.38;1.43
"5";5;1.3;1.83;2.38;1.57
"6";6;4.5;4;3.5;4.43
"7";7;3.8;4.25;3.88;4.29
"8";8;3;2.5;3;2.86
"9";9;3.6;2.17;2.25;1
"10";10;4.6;2.42;4.5;2.43
"11";11;3.5;2;2.5;1.86
"12";12;3.8;3.5;3.5;3.71
"13";13;3.5;2.42;2.38;2
"14";14;2.9;2.42;3.5;3.43
"15";15;2.6;4.25;4.5;2
"16";16;4.3;3.83;4.25;3.29
"17";17;4.4;4;4.25;3.71
"18";18;2.9;2.33;2.63;2.57
"19";19;3.9;4.5;4.13;1.71
"20";20;4.1;3.75;4;1.71
"21";21;3.4;2.75;2.88;2.86
"22";22;3.4;3.33;3.5;3.57
"23";23;3.8;3.67;4.25;4.29
"24";24;4.7;4.67;3.13;4.14
"25";25;3.4;2.5;2.63;2.71
"26";26;3.6;3.25;3.38;3.86
"27";27;4.9;4.42;4.38;3.14
"28";28;4.6;4.08;4.13;4.29
"29";29;4.5;4.25;4;4.57
"30";30;3.9;3.5;3.5;3.86
"31";31;4.4;4;3.5;4.29
"32";32;1.4;1.5;2.13;1.29
"33";33;4.3;3.92;3.25;4
"34";34;2.3;2.42;2.63;2.57
"35";35;4.1;4;3.38;4
"36";36;4.6;4.17;4.13;4.57
"37";37;3.6;3.75;3.5;3.57
"38";38;3.6;3.33;3.75;3.29
"39";39;4.3;3.92;4;4.14
"40";40;3.8;4;3.25;3
"41";41;2.6;3.67;3;2.43
"42";42;5;4.92;4.63;5
"43";43;4.3;3.92;3.75;2.71
"44";44;4.8;4.08;2.75;2.86
"45";45;4.3;4.33;4.13;4.57
"46";46;4.1;4;3.13;3.57
"47";47;4.3;3.75;3.38;4
"48";48;4.7;4.33;4;3.86
"49";49;4.8;2.83;4;2.29
"50";50;4.4;4.25;3.88;4.43
"51";51;4.6;4.17;4.13;4.71
"52";52;3.4;3.33;3.13;3.29
"53";53;4.4;4;3.63;4.14
"54";54;4;4.08;4.13;4.43
"55";55;3.8;3;2.25;2.57
"56";56;4.5;4.08;4.75;1.86
"57";57;4.3;4;4.25;4
"58";58;4;3.58;3.63;3.57
"59";59;3.7;2.25;3.75;2.14
"60";60;3.5;3.83;3.88;3.86
"61";61;4.2;3.58;3.13;3.86
"62";62;3.7;3.33;3.38;3.29
"63";63;3.8;3.92;3.38;1.86
"64";64;4.5;4.42;3.75;4.57
"65";65;3.6;3.5;3.38;3.86
"66";66;2;2.83;2.88;1
"67";67;4.6;3.67;4.5;2.29
"68";68;4.4;3.92;4;4.57
"69";69;4;4.08;4.25;4.14
"70";70;4.2;4.08;3.63;4
"71";71;3.7;3.5;4;3.57
"72";72;2.7;2.17;3.5;1.71
"73";73;3.4;4.33;3.88;3.57
"74";74;4.2;3.42;4.5;4.57
"75";75;3.9;3.5;4.13;3.86
"76";76;3.8;3.67;3.63;3.29
"77";77;3.5;4.08;3.38;4.29
"78";78;3.9;4.08;2.5;3.43
"79";79;4.6;3.25;3.75;2.14
"80";80;3;2.67;3.25;2.86
"81";81;2.7;2.5;2.63;1.71
"82";82;4;3.75;3.75;4.14
"83";83;4.6;4.25;4.13;4
"84";84;4.5;4.42;4.5;4.57
"85";85;4.2;3.67;3;3.71
"86";86;3.7;3.92;3.5;3.14
"87";87;4.7;4;3.75;4.57
"88";88;4.1;4.17;4.25;2.57
"89";89;4.4;4.33;3.88;4.57
"90";90;4.1;3.83;2.88;2.57
"91";91;4;3.58;4.13;4
"92";92;4.3;3.83;4.38;4.43
"93";93;4.8;4.75;4.88;4.57
"94";94;4.1;4.42;3.88;3
"95";95;2.4;3.83;2;2.29
"96";96;3.1;2.67;3.5;3
"97";97;4.5;4.25;4;4.43
"98";98;3.2;3.5;2.88;2.29
"99";99;3;2.92;2.88;3.14
"100";100;4;4.17;4;4.29
"101";101;3.9;3.5;4.13;4
"102";102;4.1;3.33;3.88;2
"103";103;3.5;3.33;3.38;3.29
"104";104;4.4;4.25;3.13;4.29
"105";105;3.7;3.67;4;3.43
"106";106;3.5;3.83;3.25;3.57
"107";107;4.4;4.17;4.25;2.14
"108";108;3.2;2.75;3.25;3
"109";109;3.7;3.42;3.5;2.14
"110";110;3.9;3.58;3.25;1.71
"111";111;4.3;4.5;4.5;3.43
"112";112;2.9;2.92;3.25;2.14
"113";113;4.4;4.42;3.75;3.71
"114";114;3;3.17;2.5;3
"115";115;4.2;4.42;4.13;4.29
"116";116;4.1;4.17;3.38;1.71
"117";117;5;4.33;3.5;4.29
"118";118;3.6;3.58;2.88;2.14
"119";119;4.1;3.08;3.25;2.14
"120";120;3.1;3.33;2.88;3.71
"121";121;4.9;4.25;4.63;2.29
"122";122;4.4;3.5;4.13;4
"123";123;4.4;4;3.88;4.57
"124";124;4;3.83;3.75;4
"125";125;3.6;3.5;3.5;3.43
"126";126;4;4.08;3.75;4.14
"127";127;3.5;3.33;3.13;3.29
"128";128;4.2;3.42;3.25;3.57
"129";129;4.5;4.08;4;4.71
"130";130;4.2;4.42;4;4.71
"131";131;3.9;3.08;3;1.43
"132";132;3.5;3.25;2.88;2.86
"133";133;4.5;4.25;4.13;4.29
"134";134;4.4;4.08;4.13;1.71
"135";135;3.7;2.83;1.88;1.86
"136";136;3.9;4.17;2;3.57
"137";137;3.5;3.67;3.75;3.86
"138";138;1.9;3.58;2.25;1.43
"139";139;4;4;4.13;4
"140";140;4;3.58;4.13;1.43
"141";141;5;4.67;4.75;5
"142";142;3.8;2.58;3.38;2.57
"143";143;1;1;2.63;1
"144";144;3.9;3.5;2.88;4
"145";145;3.8;3.67;3.75;4.29
"146";146;3.2;3;3.88;3.43
"147";147;4;3.5;4;3
"148";148;3.7;3.17;3.13;3.57
"149";149;3.5;3.08;3.25;2.57
"150";150;4.2;4.17;4.13;4.71
