"","worker_id","StartDate","EndDate","Status","IPAddress","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q66_1","catch1","catch2","rehearse_question","rehearse_question_2_TEXT","conversation_focus","earworms","convo_memory_friend","convo_memory_friend_1_TEXT","convo_memory_self","convo_memory_self_1_TEXT","hearing_conversation","hearing_conversation_1_TEXT","sing_along","sing_along_thinking","other_voice_quality","other_voice_quality_1_TEXT","thinking_in_ideas","thinking_in_ideas_1_TEXT","express_inner_states","stress_IS","narrative_IS","dyslexia","revise_convo","rehearse_convo","exp_type_nodding_off","impulsiveness_1","impulsiveness_2","impulsiveness_3","others_experiences_1","others_experiences_4","others_experiences_5","others_experiences_DO_1","others_experiences_DO_4","others_experiences_DO_5","Q63_95","Q63_96","Q63_97","Q63_98","Q63_100","Q63_101","Q63_102","Q63_103","Q63_105","Q63_106","Q63_108","Q63_109","Q63_111","Q63_112","Q63_115","Factor2_1","Q63_116","Q63_117","catch3","VSIQ_DO_Q63_95","VSIQ_DO_Q63_96","VSIQ_DO_Q63_97","VSIQ_DO_Q63_98","VSIQ_DO_Q63_100","VSIQ_DO_Q63_101","VSIQ_DO_Q63_102","VSIQ_DO_Q63_103","VSIQ_DO_Q63_105","VSIQ_DO_Q63_106","VSIQ_DO_Q63_108","VSIQ_DO_Q63_109","VSIQ_DO_Q63_111","VSIQ_DO_Q63_112","VSIQ_DO_Q63_115","VSIQ_DO_Factor2_1","VSIQ_DO_Q63_116","VSIQ_DO_Q63_117","VSIQ_DO_catch3","Q319","Q320","Q321","Q323","education_level","Q325","Q326","comments","source","code","InnerSpeechQuestions_DO_conversation_focus","InnerSpeechQuestions_DO_impulsiveness_1","InnerSpeechQuestions_DO_convo_memory_self","InnerSpeechQuestions_DO_narrative_IS","InnerSpeechQuestions_DO_dyslexia","InnerSpeechQuestions_DO_sing_along_thinking","InnerSpeechQuestions_DO_revise_convo","InnerSpeechQuestions_DO_rehearse_convo","InnerSpeechQuestions_DO_express_inner_states","InnerSpeechQuestions_DO_impulsiveness_3","InnerSpeechQuestions_DO_exp_type_nodding_off","InnerSpeechQuestions_DO_stress_IS","InnerSpeechQuestions_DO_catch2","InnerSpeechQuestions_DO_sing_along","InnerSpeechQuestions_DO_rehearse_question","InnerSpeechQuestions_DO_other_voice_quality","InnerSpeechQuestions_DO_thinking_in_ideas","InnerSpeechQuestions_DO_impulsiveness_2","InnerSpeechQuestions_DO_earworms","InnerSpeechQuestions_DO_convo_memory_friend","InnerSpeechQuestions_DO_catch1","InnerSpeechQuestions_DO_hearing_conversation","VerbalScored","VisualScored","high_low_verbal"
"1","77543",2022-10-01 22:36:49,2022-10-01 22:42:35,0,"72.33.2.109",100,346,1,2022-10-01 22:42:35,"R_3h0IbtCF7n4Slvm",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",4,5,5,"-999",5,-999,3,"-999",4,5,4,"-999",2,"-999",1,3,1,2,5,4,3,2,5,2,80,100,100,1,2,3,3,4,1,1,5,5,4,4,5,5,4,1,5,3,3,5,5,5,5,10,8,7,9,2,6,17,19,1,4,13,12,5,3,18,16,14,11,15,1,1,"-999",19,2,NA,"Student","-999","sona","lFvPbxgrTriNQouvgdVO",3,19,5,21,14,8,2,1,17,20,15,12,16,7,10,9,13,18,22,4,11,6,4.58333333333333,3.8,"high_verbal"
"2","77593",2022-10-01 00:44:59,2022-10-01 01:00:10,0,"72.33.2.121",100,910,1,2022-10-01 01:00:10,"R_1fkqGqYa2KRfVdO",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,4,3,"-999",4,-999,3,"-999",4,4,4,"-999",2,"-999",4,1,2,3,5,5,2,2,5,3,91,100,100,1,2,3,1,4,1,2,2,4,5,1,4,5,3,4,5,1,4,4,2,3,5,16,18,12,19,6,17,3,13,14,1,15,2,5,9,4,11,7,10,8,1,1,"-999",18,2,NA,"Full time Student","-999","sona","xEHmaZnrTrkVRzDlMtIS",11,20,5,14,12,8,10,16,13,19,2,22,17,7,1,9,21,18,3,4,15,6,4.75,4.4,"high_verbal"
"3","77763",2022-10-01 20:43:45,2022-10-01 21:06:59,0,"72.33.2.95",100,1394,1,2022-10-01 21:07:00,"R_30oTAZ147mi4rRD",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,3,3,"-999",3,-999,3,"-999",4,2,4,"-999",2,"-999",4,2,1,3,3,2,1,4,3,3,36,31,72,1,2,3,3,2,1,4,2,4,2,4,4,4,4,2,2,4,2,2,2,4,5,19,12,7,3,9,13,2,4,14,17,16,18,6,1,15,11,5,8,10,1,1,"-999",18,2,NA,"Student","-999","sona","wngDjklrTraKzBWHZlKj",3,19,5,21,14,8,22,12,16,20,1,15,2,7,11,9,10,18,13,4,17,6,3,3.8,"low_verbal"
"4","77815",2022-10-02 14:38:15,2022-10-02 14:47:33,0,"52.124.37.97",100,557,1,2022-10-02 14:47:33,"R_29nuwnZmGzVgxF1",43.0334,-89.4512,"anonymous","EN",1,1,1,5,"-999",2,4,5,"-999",5,-999,4,"-999",4,2,4,"-999",2,"-999",2,2,3,3,5,5,5,4,5,1,92,92,93,1,2,3,3,2,1,4,2,3,4,4,5,4,4,2,4,4,4,5,5,4,5,10,2,6,14,5,15,11,16,9,8,18,13,19,4,1,7,12,17,3,2,1,"N/A",19,3,NA,"Student","-999","sona","pnzGqiBrTrxjjBEKBoZF",15,18,5,1,14,8,11,22,17,20,21,16,10,7,3,9,12,19,2,4,13,6,4.83333333333333,4.6,"high_verbal"
"5","77837",2022-10-04 16:54:07,2022-10-04 16:59:03,0,"72.33.2.220",100,296,1,2022-10-04 16:59:03,"R_31WBxVhjdy9TfF8",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",1,3,3,"-999",4,-999,2,"-999",3,4,3,"-999",2,"-999",3,1,2,3,4,2,1,4,5,3,59,49,30,1,2,3,5,4,2,2,2,3,4,5,5,5,4,4,5,4,2,2,5,4,5,9,3,18,7,4,13,15,14,8,19,10,1,12,6,17,5,16,11,2,1,1,"-999",18,2,NA,"Student","-999","sona","YEKhqhTrTrrsIDZNZdPo",2,19,5,15,1,8,10,14,22,18,13,3,11,7,16,9,17,20,12,4,21,6,4.58333333333333,3.5,"high_verbal"
"6","77866",2022-10-05 16:10:19,2022-10-05 16:18:56,0,"72.33.2.135",100,516,1,2022-10-05 16:18:56,"R_D2UKFMjzy5v0fsJ",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,3,3,"-999",3,-999,3,"-999",3,2,3,"-999",1,"I list the pros and cons and would could happen. I don't hear a voice talking through it in my head.",4,2,2,3,4,4,2,2,4,2,30,60,70,1,2,3,5,4,2,2,2,2,4,5,5,2,2,1,4,4,2,2,4,4,5,19,18,10,8,6,14,5,4,16,11,2,1,9,17,12,3,7,15,13,2,1,"-999",18,2,NA,"Currently unemployed","-999","sona","qRTRAbRrTrHrymvqSDgU",2,19,5,1,10,8,17,21,11,20,15,3,12,7,14,9,13,18,22,4,16,6,2.91666666666667,3.2,"low_verbal"
"7","78010",2022-10-03 01:47:32,2022-10-03 01:56:06,0,"72.33.2.109",100,513,1,2022-10-03 01:56:06,"R_1JVGe4Cbh2H45yy",43.0812,-89.3845,"anonymous","EN",1,1,1,4,"-999",2,4,4,"-999",4,-999,3,"-999",3,3,4,"-999",2,"-999",4,2,2,3,3,3,1,2,4,3,60,49,82,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,11,7,18,19,10,16,4,13,15,2,3,14,8,5,12,1,17,9,6,1,0,"Gujarati and Hindi",18,3,NA,"student","-999","sona","ZfgzpNNrTrBKoDpTJocT",1,19,5,3,22,8,2,16,11,18,13,14,21,7,12,9,17,20,10,4,15,6,2.83333333333333,3.1,"low_verbal"
"8","78099",2022-10-04 22:45:15,2022-10-04 22:52:22,0,"72.33.2.39",100,427,1,2022-10-04 22:52:23,"R_2QhwgZ54y2dYyMG",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",4,4,3,"-999",4,-999,4,"-999",3,3,4,"-999",2,"-999",5,2,3,3,5,5,2,5,5,5,81,93,91,1,2,3,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,11,15,9,16,10,8,6,13,5,12,14,7,3,17,1,19,18,4,2,1,"-999",18,2,NA,"student","-999","sona","pwkmHIsrTrwKUAGhcULQ",14,20,5,3,16,8,1,2,21,19,10,12,15,7,17,9,11,18,13,4,22,6,4.75,4.5,"high_verbal"
"9","78304",2022-10-04 18:05:06,2022-10-04 18:12:54,0,"72.33.2.201",100,467,1,2022-10-04 18:12:54,"R_1f6PRJ4P4VYQjXp",43.0812,-89.3845,"anonymous","EN",1,1,1,5,"-999",2,4,3,"-999",3,-999,4,"-999",2,2,4,"-999",2,"-999",5,1,2,3,5,4,1,2,5,2,40,92,100,1,2,3,1,5,3,3,2,1,5,1,5,5,5,3,5,1,5,2,5,5,5,9,5,10,1,19,8,17,18,13,15,4,14,12,6,16,3,11,2,7,2,1,"-999",18,4,"it was an associates of the arts degrees (like general classes)","full time student","-999","sona","HdyOjsYrTronewumyoHh",12,18,5,11,21,8,14,22,16,19,13,3,10,7,17,9,15,20,1,4,2,6,4.83333333333333,4,"high_verbal"
"10","78315",2022-09-30 20:10:04,2022-09-30 21:07:12,0,"72.33.2.189",100,3427,1,2022-09-30 21:07:13,"R_1DGpMO9H19nVpSs",43.0812,-89.3845,"anonymous","EN",1,1,1,3,"-999",1,3,3,"-999",3,-999,2,"-999",4,4,3,"-999",2,"-999",2,3,2,3,2,2,1,4,4,2,60,28,96,1,2,3,5,5,1,2,2,5,5,1,4,2,4,1,2,1,5,1,4,3,5,3,4,14,8,17,2,6,16,12,1,7,10,9,19,5,18,15,13,11,2,1,"-999",18,2,NA,"Student","-999","sona","eYwGeUkrTruTqhDSEYEJ",15,20,5,17,2,8,11,21,16,18,14,22,10,7,1,9,12,19,13,4,3,6,2.66666666666667,3.1,"low_verbal"
