"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","symbol_cue","trial_no","color_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5"
"true","false","[]","[]","[]","preload","0","3003","0.0-0.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","11627","0.0-1.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":8622.699999988079}]","8622.90000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","15564","0.0-2.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","49860","0.0-3.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":34294.59999999404}]","34294.79999998212","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","57852","0.0-4.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":7990.100000023842}]","7990.300000011921","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","61633","0.0-5.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3770.9000000059605","task_switching","{""subtraction_ans"":""10""}","training","13","subtraction","10","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","62641","0.0-6.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","67066","0.0-7.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","4420.800000011921","task_switching","{""subtraction_ans"":""46""}","training","49","subtraction","46","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","68072","0.0-8.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","73008","0.0-9.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","4934.300000011921","task_switching","{""subtraction_ans"":""68""}","training","71","subtraction","68","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","74024","0.0-10.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","77641","0.0-11.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3614.2000000178814","task_switching","{""subtraction_ans"":""22""}","training","25","subtraction","22","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","78656","0.0-12.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","83233","0.0-13.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","4570.5","task_switching","{""subtraction_ans"":""39""}","training","42","subtraction","39","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","84238","0.0-14.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","88620","0.0-15.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","4380.5","task_switching","{""subtraction_ans"":""90""}","training","93","subtraction","90","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","89632","0.0-16.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","92937","0.0-17.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3301","task_switching","{""subtraction_ans"":""52""}","training","55","subtraction","52","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","93945","0.0-18.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","100021","0.0-19.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","6073.800000011921","task_switching","{""subtraction_ans"":""95""}","training","98","subtraction","95","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","101035","0.0-20.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","104538","0.0-21.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3499.5999999940395","task_switching","{""subtraction_ans"":""76""}","training","79","subtraction","76","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","105549","0.0-22.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","109701","0.0-23.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","4147.699999988079","task_switching","{""subtraction_ans"":""67""}","training","70","subtraction","67","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","110708","0.0-24.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","116929","0.0-25.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":6219.699999988079}]","6220","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","120301","0.0-26.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3368.9000000059605","task_switching","{""subtraction_ans"":""60""}","experiment","63","subtraction","60","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","27","128238","0.0-27.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","7933.5999999940395","task_switching","{""subtraction_ans"":""42""}","experiment","45","subtraction","42","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","130309","0.0-28.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2066.699999988079","task_switching","{""subtraction_ans"":""52""}","experiment","55","subtraction","52","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","29","133695","0.0-29.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3380.800000011921","task_switching","{""subtraction_ans"":""95""}","experiment","98","subtraction","95","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","136245","0.0-30.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2546.300000011921","task_switching","{""subtraction_ans"":""62""}","experiment","65","subtraction","62","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","31","138565","0.0-31.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2316","task_switching","{""subtraction_ans"":""69""}","experiment","72","subtraction","69","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","140582","0.0-32.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2009.5999999940395","task_switching","{""subtraction_ans"":""51""}","experiment","54","subtraction","51","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","33","142581","0.0-33.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","1994.7999999821186","task_switching","{""subtraction_ans"":""31""}","experiment","34","subtraction","31","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","144805","0.0-34.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2218.4000000059605","task_switching","{""subtraction_ans"":""76""}","experiment","79","subtraction","76","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","35","146925","0.0-35.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2116.300000011921","task_switching","{""subtraction_ans"":""80""}","experiment","83","subtraction","80","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","150093","0.0-36.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","3164.2000000178814","task_switching","{""subtraction_ans"":""37""}","experiment","40","subtraction","37","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","37","152125","0.0-37.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2027.3999999761581","task_switching","{""subtraction_ans"":""87""}","experiment","90","subtraction","87","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","154101","0.0-38.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","1972.4000000059605","task_switching","{""subtraction_ans"":""77""}","experiment","80","subtraction","77","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","39","156645","0.0-39.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2539.7999999821186","task_switching","{""subtraction_ans"":""25""}","experiment","28","subtraction","25","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","158717","0.0-40.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2067.4000000059605","task_switching","{""subtraction_ans"":""13""}","experiment","16","subtraction","13","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","41","160989","0.0-41.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2263.699999988079","task_switching","{""subtraction_ans"":""59""}","experiment","62","subtraction","59","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","163021","0.0-42.0","A10JXOU89D5RXR","2022-05-18T15:11:54.261Z","task_switching-rhyme-same_different-phon_sim","","2028.5999999940395","task_switching","{""subtraction_ans"":""96""}","experiment","99","subtraction","96","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
