"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","answer","true_neg","correct","true_pos","false_pos","false_neg","condition","operation","color_cue","trial_no","symbol_cue","wait_time","image_1","image_2","cor_key","type"
"true","false","[]","[]","[]","preload","0","9015","0.0-0.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","51910","0.0-1.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","[{""page_index"":0,""viewing_time"":42893.09999996424}]","42893.299999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","61061","0.0-2.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","210231","0.0-3.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","[{""page_index"":0,""viewing_time"":149167.69999998808}]","149168","phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","223244","0.0-4.0-0.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">mad</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">man</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">map</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">mat</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">max</h1></div>","null","training","mad","man","map","mat","max","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","297977","0.0-4.0-1.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","74726.70000004768","phon_sim","","{""position_1"":""mad"",""position_2"":""man"",""position_3"":""map"",""position_4"":""mat"",""position_5"":""max""}","training","","","","","","","mad","man","map","mat","max","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","302998","0.0-4.0-2.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<h1 id=""word_1"">mad</h1><h1 id=""word_2"">man</h1><h1 id=""word_3"">map</h1><h1 id=""word_4"">mat</h1><h1 id=""word_5"">max</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","316005","0.0-4.0-0.1","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">pen</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rig</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">day</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bar</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cow</h1></div>","null","training","pen","rig","day","bar","cow","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","8","344388","0.0-4.0-1.1","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","28379.69999998808","phon_sim","","{""position_1"":""pen"",""position_2"":""day"",""position_3"":""cow"",""position_4"":"""",""position_5"":""""}","training","","","","","","","pen","day","cow","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","349398","0.0-4.0-2.1","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<h1 id=""word_1"">pen</h1><h1 id=""word_2"">rig</h1><h1 id=""word_3"">day</h1><h1 id=""word_4"">bar</h1><h1 id=""word_5"">cow</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","356226","0.0-5.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","[{""page_index"":0,""viewing_time"":6827.199999988079}]","6827.600000023842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","369243","0.0-6.0-0.0","A2PUL3ZDXOW0VZ","2022-05-18T17:46:57.178Z","phon_sim-same_different-task_switching-rhyme","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1></div>","null","experiment","board","row","sleigh","plea","friend","controlSet","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
