success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,worker_id,start_time,experiment_order,view_history,rt,experiment,stimulus,response,wait_time,correct,phase,image_1,image_2,cor_key,type,question_order,talk_out_loud,strategy_free_ans,condition,answer,operation,color_cue,trial_no,symbol_cue,judgment_type,stim_1,stim_2,inverted,true_pos,true_neg,false_pos,false_neg,word_1,word_2,word_3,word_4,word_5,original_word_set,response_1,response_2,response_3,response_4,response_5
TRUE,FALSE,[],[],[],preload,0,3112,0.0-0.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,1,29482,0.0-1.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,"[{""page_index"":0,""viewing_time"":26368.5}]",26368.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,,,,,fullscreen,2,38118,0.0-2.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,instructions,3,71490,0.0-3.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,"[{""page_index"":0,""viewing_time"":33353.39999997616}]",33353.8,rhyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,4,71742,0.0-4.0-0.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,null,rhyme,"<div style=""font-size:60px;"">+</div>",null,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,5,72256,0.0-4.0-1.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,null,rhyme,"<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,categorize-html,6,75064,0.0-4.0-2.0,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,1803.4,rhyme,"<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/chess.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/suit.png"" width=""300""></div>",arrowdown,,TRUE,training,visual/chess.png,visual/suit.png,ArrowDown,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,7,75317,0.0-4.0-0.1,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,null,rhyme,"<div style=""font-size:60px;"">+</div>",null,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,8,75819,0.0-4.0-1.1,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,null,rhyme,"<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,categorize-html,9,77918,0.0-4.0-2.1,AMNUNZ65OSTFO,2022-05-18T15:17:28.877Z,rhyme-task_switching-same_different-phon_sim,,1094.9,rhyme,"<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/house.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/mouse.png"" width=""300""></div>",arrowup,,TRUE,training,visual/house.png,visual/mouse.png,ArrowUp,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
