"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","symbol_cue","trial_no","color_cue","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg","wait_time","image_1","image_2","cor_key","type"
"true","false","[]","[]","[]","preload","0","8638","0.0-0.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","413186","0.0-1.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","[{""page_index"":0,""viewing_time"":404549.5}]","404549.700000003","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","415519","0.0-2.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","433867","0.0-3.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","[{""page_index"":0,""viewing_time"":18345.70000000298}]","18346","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","436953","0.0-4.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","[{""page_index"":0,""viewing_time"":3083.6999999955297}]","3083.89999999851","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","439305","0.0-5.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","2345.8000000044703","task_switching","{""subtraction_ans"":""33""}","training","35","subtraction","33","false","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","444308","0.0-6.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkred; font-size:40px"">Right direction but be careful with the numbers.<p> Correct answer: 32</p></div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","450559","0.0-7.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","6247.39999999851","task_switching","{""subtraction_ans"":""86""}","training","89","subtraction","86","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","451568","0.0-8.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","453584","0.0-9.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","2012","task_switching","{""subtraction_ans"":""18""}","training","21","subtraction","18","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","454593","0.0-10.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","456272","0.0-11.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","1674.7999999970198","task_switching","{""subtraction_ans"":""15""}","training","18","subtraction","15","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","457289","0.0-12.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","460544","0.0-13.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","3249.6999999955297","task_switching","{""subtraction_ans"":""46""}","training","49","subtraction","46","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","461548","0.0-14.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","464095","0.0-15.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","2541.39999999851","task_switching","{""subtraction_ans"":""43""}","training","46","subtraction","43","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","465102","0.0-16.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","466446","0.0-17.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","1338.1999999955297","task_switching","{""subtraction_ans"":""10""}","training","13","subtraction","10","true","subtract","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","467451","0.0-18.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","468852","0.0-19.0","A1BM57TUNAQIXM","2022-05-19T03:36:11.572Z","task_switching-same_different-rhyme-phon_sim","","1398.6000000014901","task_switching","{""subtraction_ans"":""30""}","training","33","subtraction","30","true","subtract","","","","","","","","","","","","","","","","","","",""
