"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_neg","false_pos"
"true","false","[]","[]","[]","preload","0","3051","0.0-0.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","18944","0.0-1.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","[{""page_index"":0,""viewing_time"":15892.300000011921}]","15892.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21954","0.0-2.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","34244","0.0-3.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","[{""page_index"":0,""viewing_time"":12289.39999999106}]","12289.59999999404","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","40332","0.0-4.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","[{""page_index"":0,""viewing_time"":6087.29999999702}]","6087.5","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","44022","0.0-5.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","3684.5","task_switching","{""subtraction_ans"":""91""}","training","94","subtraction","91","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","45025","0.0-6.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","47585","0.0-7.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","2556.7000000029802","task_switching","{""subtraction_ans"":""40""}","training","43","subtraction","40","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","48601","0.0-8.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","50749","0.0-9.0","A1O4Q0QVPVBF8M","2022-05-19T02:22:38.920Z","task_switching-phon_sim-same_different-rhyme","","2145.8999999910593","task_switching","{""subtraction_ans"":""55""}","training","58","subtraction","55","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","",""
