"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","trial_no","symbol_cue","color_cue","question_order","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_pos","false_pos","true_neg","false_neg"
"true","false","[]","[]","[]","preload","0","3425","0.0-0.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24491","0.0-1.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":21063.89999999851}]","21064.09999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","36987","0.0-2.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","54489","0.0-3.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":17501.89999999851}]","17502.20000000298","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","65985","0.0-4.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":11494.79999999702}]","11494.89999999851","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","69201","0.0-5.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3211.2999999970198","task_switching","{""subtraction_ans"":""33""}","training","36","subtraction","33","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","70213","0.0-6.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","73306","0.0-7.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3090.39999999851","task_switching","{""subtraction_ans"":""87""}","training","90","subtraction","87","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","74309","0.0-8.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","77882","0.0-9.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3570.2999999970198","task_switching","{""subtraction_ans"":""70""}","training","73","subtraction","70","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","78891","0.0-10.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","81417","0.0-11.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2523.89999999851","task_switching","{""subtraction_ans"":""82""}","training","85","subtraction","82","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","82433","0.0-12.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","85113","0.0-13.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2679.2999999970198","task_switching","{""subtraction_ans"":""50""}","training","53","subtraction","50","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","86128","0.0-14.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","88417","0.0-15.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2287.60000000149","task_switching","{""subtraction_ans"":""96""}","training","99","subtraction","96","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","89422","0.0-16.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","92697","0.0-17.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3273","task_switching","{""subtraction_ans"":""16""}","training","19","subtraction","16","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","93703","0.0-18.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","95969","0.0-19.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2264.2999999970198","task_switching","{""subtraction_ans"":""22""}","training","25","subtraction","22","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","96982","0.0-20.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","99545","0.0-21.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2561.2999999970198","task_switching","{""subtraction_ans"":""68""}","training","71","subtraction","68","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","100561","0.0-22.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","103225","0.0-23.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2663.10000000149","task_switching","{""subtraction_ans"":""95""}","training","98","subtraction","95","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","104232","0.0-24.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","108249","0.0-25.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":4016.2000000029802}]","4016.39999999851","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","111697","0.0-26.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3446","task_switching","{""subtraction_ans"":""37""}","experiment","40","subtraction","37","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","27","114225","0.0-27.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2526","task_switching","{""subtraction_ans"":""70""}","experiment","73","subtraction","70","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","116385","0.0-28.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2158.3000000044703","task_switching","{""subtraction_ans"":""68""}","experiment","71","subtraction","68","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","29","119281","0.0-29.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2894.4000000059605","task_switching","{""subtraction_ans"":""35""}","experiment","38","subtraction","35","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","122297","0.0-30.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3014.4000000059605","task_switching","{""subtraction_ans"":""83""}","experiment","86","subtraction","83","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","31","124577","0.0-31.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2278.60000000149","task_switching","{""subtraction_ans"":""47""}","experiment","50","subtraction","47","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","126921","0.0-32.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2342","task_switching","{""subtraction_ans"":""87""}","experiment","90","subtraction","87","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","33","129313","0.0-33.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2390.39999999851","task_switching","{""subtraction_ans"":""67""}","experiment","70","subtraction","67","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","131385","0.0-34.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2070.39999999851","task_switching","{""subtraction_ans"":""41""}","experiment","44","subtraction","41","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","35","134553","0.0-35.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","3166.3000000044703","task_switching","{""subtraction_ans"":""59""}","experiment","62","subtraction","59","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","137441","0.0-36.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2886.5","task_switching","{""subtraction_ans"":""31""}","experiment","34","subtraction","31","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","37","139681","0.0-37.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2238.2000000029802","task_switching","{""subtraction_ans"":""84""}","experiment","87","subtraction","84","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","142137","0.0-38.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2453.5","task_switching","{""subtraction_ans"":""57""}","experiment","60","subtraction","57","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","39","144793","0.0-39.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2654.60000000149","task_switching","{""subtraction_ans"":""65""}","experiment","68","subtraction","65","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","147041","0.0-40.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2246.2000000029802","task_switching","{""subtraction_ans"":""29""}","experiment","32","subtraction","29","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","41","149872","0.0-41.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2829.9000000059605","task_switching","{""subtraction_ans"":""56""}","experiment","59","subtraction","56","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","152353","0.0-42.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2478.7000000029802","task_switching","{""subtraction_ans"":""16""}","experiment","19","subtraction","16","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","43","154705","0.0-43.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2350","task_switching","{""subtraction_ans"":""51""}","experiment","54","subtraction","51","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","44","156817","0.0-44.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2110.1999999955297","task_switching","{""subtraction_ans"":""11""}","experiment","14","subtraction","11","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","45","159152","0.0-45.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2333.2999999970198","task_switching","{""subtraction_ans"":""94""}","experiment","97","subtraction","94","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","46","161305","0.0-46.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2150.5","task_switching","{""subtraction_ans"":""45""}","experiment","48","subtraction","45","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","47","164193","0.0-47.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2886.2999999970198","task_switching","{""subtraction_ans"":""46""}","experiment","49","subtraction","46","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","48","166505","0.0-48.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2310.39999999851","task_switching","{""subtraction_ans"":""49""}","experiment","52","subtraction","49","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","49","169193","0.0-49.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2686.2999999970198","task_switching","{""subtraction_ans"":""90""}","experiment","93","subtraction","90","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","50","171721","0.0-50.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2526.5","task_switching","{""subtraction_ans"":""86""}","experiment","89","subtraction","86","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","51","174569","0.0-51.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2846.39999999851","task_switching","{""subtraction_ans"":""21""}","experiment","24","subtraction","21","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","52","176705","0.0-52.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2134.2000000029802","task_switching","{""subtraction_ans"":""25""}","experiment","28","subtraction","25","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","53","178849","0.0-53.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2141.89999999851","task_switching","{""subtraction_ans"":""95""}","experiment","98","subtraction","95","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","54","181441","0.0-54.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2590.2000000029802","task_switching","{""subtraction_ans"":""40""}","experiment","43","subtraction","40","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","55","183665","0.0-55.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2222.7999999970198","task_switching","{""subtraction_ans"":""19""}","experiment","22","subtraction","19","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","56","193057","0.0-56.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":9391.29999999702}]","9391.5","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","57","197097","0.0-57.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","4037.8000000044703","task_switching","{""addition_ans"":""80""}","training","77","addition","80","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","58","198108","0.0-58.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","59","200809","0.0-59.0","A2MOKIEQZ0OF2M","2022-05-19T01:28:53.514Z","task_switching-phon_sim-rhyme-same_different","","2699.39999999851","task_switching","{""addition_ans"":""23""}","training","20","addition","23","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
