"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","wait_time","correct","image_1","image_2","cor_key","type","condition","answer","operation","symbol_cue","trial_no","color_cue","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_pos","false_neg"
"true","false","[]","[]","[]","preload","0","2744","0.0-0.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","9259","0.0-1.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","[{""page_index"":0,""viewing_time"":6514.299999952316}]","6514.600000023842","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11957","0.0-2.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","36067","0.0-3.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","[{""page_index"":0,""viewing_time"":24109.200000047684}]","24109.299999952316","phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","49075","0.0-4.0-0.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">pen</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rig</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">day</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bar</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cow</h1></div>","null","training","pen","rig","day","bar","cow","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","63764","0.0-4.0-1.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","14681.700000047684","phon_sim","","{""position_1"":""pen"",""position_2"":""rig"",""position_3"":""day"",""position_4"":""bar"",""position_5"":""cow""}","training","","","","","","","pen","rig","day","bar","cow","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","68775","0.0-4.0-2.0","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","null","phon_sim","<h1 id=""word_1"">pen</h1><h1 id=""word_2"">rig</h1><h1 id=""word_3"">day</h1><h1 id=""word_4"">bar</h1><h1 id=""word_5"">cow</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","81780","0.0-4.0-0.1","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">mad</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">man</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">map</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">mat</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">max</h1></div>","null","training","mad","man","map","mat","max","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","8","91680","0.0-4.0-1.1","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","9894.5","phon_sim","","{""position_1"":""man"",""position_2"":""mad"",""position_3"":""map"",""position_4"":"""",""position_5"":""""}","training","","","","","","","man","mad","map","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","96684","0.0-4.0-2.1","A3KVKK1XLBTSN3","2022-05-19T01:59:00.331Z","phon_sim-rhyme-task_switching-same_different","","null","phon_sim","<h1 id=""word_1"">mad</h1><h1 id=""word_2"">man</h1><h1 id=""word_3"">map</h1><h1 id=""word_4"">mat</h1><h1 id=""word_5"">max</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
