"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","trial_no","color_cue","symbol_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_pos","false_neg"
"true","false","[]","[]","[]","preload","0","2884","0.0-0.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","7298","0.0-1.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":4412.100000008941}]","4413.20000000298","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10920","0.0-2.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","142821","0.0-3.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":131899.5}]","131899.70000000298","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","149857","0.0-4.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":7035.29999999702}]","7035.4000000059605","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","152904","0.0-5.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","3036.800000011921","task_switching","{""subtraction_ans"":""12""}","training","15","subtraction","12","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","153907","0.0-6.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","156898","0.0-7.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","2989","task_switching","{""subtraction_ans"":""90""}","training","93","subtraction","90","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","157901","0.0-8.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","160434","0.0-9.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","2530.4000000059605","task_switching","{""subtraction_ans"":""16""}","training","19","subtraction","16","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","161436","0.0-10.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","164255","0.0-11.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","2816.0999999940395","task_switching","{""subtraction_ans"":""46""}","training","49","subtraction","46","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","165257","0.0-12.0","A3SS0C4IVTSIFL","2022-05-19T09:38:41.234Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
