"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","phase","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","question_order","talk_out_loud","strategy_free_ans","condition","answer","correct","operation","trial_no","color_cue","symbol_cue","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_pos","false_neg"
"true","false","[]","[]","[]","preload","0","2807","0.0-0.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","249831","0.0-1.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","[{""page_index"":0,""viewing_time"":247023}]","247023.19999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","255699","0.0-2.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","342587","0.0-3.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","[{""page_index"":0,""viewing_time"":86887.69999998808}]","86887.89999997616","phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","355604","0.0-4.0-0.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">pen</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">rig</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">day</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">bar</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cow</h1></div>","null","training","pen","rig","day","bar","cow","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","371896","0.0-4.0-1.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","16288","phon_sim","","{""position_1"":""pen"",""position_2"":""rig"",""position_3"":""day"",""position_4"":""bar"",""position_5"":""cow""}","training","","","","","","","pen","rig","day","bar","cow","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","376907","0.0-4.0-2.0","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<h1 id=""word_1"">pen</h1><h1 id=""word_2"">rig</h1><h1 id=""word_3"">day</h1><h1 id=""word_4"">bar</h1><h1 id=""word_5"">cow</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","389924","0.0-4.0-0.1","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">mad</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">man</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">map</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">mat</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">max</h1></div>","null","training","mad","man","map","mat","max","training","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","8","412392","0.0-4.0-1.1","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","22461","phon_sim","","{""position_1"":""man"",""position_2"":""map"",""position_3"":""mat"",""position_4"":""max"",""position_5"":""""}","training","","","","","","","man","map","mat","max","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","9","417402","0.0-4.0-2.1","AKVDK30EEV08C","2022-05-19T04:38:39.894Z","phon_sim-task_switching-rhyme-same_different","","null","phon_sim","<h1 id=""word_1"">mad</h1><h1 id=""word_2"">man</h1><h1 id=""word_3"">map</h1><h1 id=""word_4"">mat</h1><h1 id=""word_5"">max</h1>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
