"event","trial","time"
"blur","0","6177"
"focus","1","39796"
"fullscreenenter","2","46715"
"blur","205","227989"
"focus","205","232562"
"blur","406","374051"
"focus","406","387231"
"blur","407","397484"
"focus","407","418370"
"blur","608","551905"
"focus","608","701365"
"blur","809","836159"
"focus","809","889647"
"blur","866","1079059"
"focus","866","1100060"
"blur","970","1382923"
"focus","970","1420234"
"blur","1043","1612766"
"focus","1043","1630825"
"blur","1272","1963566"
"focus","1272","1978752"
