"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","trial_no","color_cue","symbol_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_neg","false_pos"
"true","false","[]","[]","[]","preload","0","7871","0.0-0.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","41716","0.0-1.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":33843.700000047684}]","33844.10000002384","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","44735","0.0-2.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","69068","0.0-3.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":24331.5}]","24331.80000001192","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","80820","0.0-4.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":11750.399999976158}]","11750.600000023842","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","85152","0.0-5.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","4325.199999988079","task_switching","{""subtraction_ans"":""41""}","training","44","subtraction","41","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","86156","0.0-6.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","89390","0.0-7.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","3231.399999976158","task_switching","{""subtraction_ans"":""54""}","training","57","subtraction","54","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","90407","0.0-8.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","93470","0.0-9.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","3060.199999988079","task_switching","{""subtraction_ans"":""67""}","training","70","subtraction","67","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","94477","0.0-10.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","97152","0.0-11.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","2673","task_switching","{""subtraction_ans"":""92""}","training","95","subtraction","92","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","98156","0.0-12.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","101052","0.0-13.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","2888.199999988079","task_switching","{""subtraction_ans"":""20""}","training","23","subtraction","20","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","102064","0.0-14.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","105441","0.0-15.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","3367.900000035763","task_switching","{""subtraction_ans"":""72""}","training","75","subtraction","72","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","106448","0.0-16.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","109338","0.0-17.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","2888.399999976158","task_switching","{""subtraction_ans"":""74""}","training","77","subtraction","74","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","110340","0.0-18.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","113636","0.0-19.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","3293.600000023842","task_switching","{""subtraction_ans"":""86""}","training","89","subtraction","86","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","114638","0.0-20.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","117560","0.0-21.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","2919.399999976158","task_switching","{""subtraction_ans"":""23""}","training","26","subtraction","23","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","118577","0.0-22.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","121630","0.0-23.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","3050.100000023842","task_switching","{""subtraction_ans"":""58""}","training","61","subtraction","58","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","122643","0.0-24.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","125103","0.0-25.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":2460.399999976158}]","2460.699999988079","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","127980","0.0-26.0","A1CB72B51L7TKE","2022-05-23T17:54:51.978Z","task_switching-rhyme-phon_sim-same_different","","2873.7999999523163","task_switching","{""subtraction_ans"":""65""}","experiment","68","subtraction","65","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
