"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","stimulus","response","wait_time","correct","phase","image_1","image_2","cor_key","type","question_order","talk_out_loud","strategy_free_ans","condition","answer","operation","symbol_cue","trial_no","color_cue","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5"
"true","false","[]","[]","[]","preload","0","3318","0.0-0.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","21690","0.0-1.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","[{""page_index"":0,""viewing_time"":18371.5}]","18371.80000001192","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","566514","0.0-2.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","682050","0.0-3.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","[{""page_index"":0,""viewing_time"":115533.59999996424}]","115533.80000001192","rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","682315","0.0-4.0-0.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","5","682817","0.0-4.0-1.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","categorize-html","6","685542","0.0-4.0-2.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1714.5","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/dress.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/chess.png"" width=""300""></div>","arrowup","","true","training","visual/dress.png","visual/chess.png","ArrowUp","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","7","686301","0.0-4.0-0.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","686812","0.0-4.0-1.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","categorize-html","9","689692","0.0-4.0-2.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1876.8999999761581","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/chess.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/suit.png"" width=""300""></div>","arrowdown","","true","training","visual/chess.png","visual/suit.png","ArrowDown","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","689946","0.0-4.0-0.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","690456","0.0-4.0-1.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","categorize-html","12","693354","0.0-4.0-2.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1887.0999999642372","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/house.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/mouse.png"" width=""300""></div>","arrowup","","true","training","visual/house.png","visual/mouse.png","ArrowUp","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","694105","0.0-4.0-0.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","694619","0.0-4.0-1.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","categorize-html","15","697166","0.0-4.0-2.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1538.6000000238419","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/mouse.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/dress.png"" width=""300""></div>","arrowdown","","true","training","visual/mouse.png","visual/dress.png","ArrowDown","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","16","703070","0.0-5.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","[{""page_index"":0,""viewing_time"":5903.5}]","5903.700000047684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","703336","0.0-6.0-0.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","703852","0.0-6.0-1.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","705443","0.0-6.0-2.0","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1588.9000000357628","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/key.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/tree.png"" width=""300""></div>","arrowup","","true","experiment","visual/key.png","visual/tree.png","ArrowUp","non-ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","706207","0.0-6.0-0.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","706721","0.0-6.0-1.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","708405","0.0-6.0-2.1","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1682.300000011921","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/egg.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/ring.png"" width=""300""></div>","arrowdown","","true","experiment","visual/egg.png","visual/ring.png","ArrowDown","NR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","708919","0.0-6.0-0.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","500","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","709433","0.0-6.0-1.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","710755","0.0-6.0-2.2","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1321.1000000238419","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/rose.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/nose.png"" width=""300""></div>","arrowup","","true","experiment","visual/rose.png","visual/nose.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","711515","0.0-6.0-0.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","750","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","712017","0.0-6.0-1.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","713747","0.0-6.0-2.3","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1729.5999999642372","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/jar.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/whale.png"" width=""300""></div>","arrowdown","","true","experiment","visual/jar.png","visual/whale.png","ArrowDown","NR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","714751","0.0-6.0-0.4","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","715259","0.0-6.0-1.4","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","717072","0.0-6.0-2.4","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1809.7999999523163","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/train.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/screw.png"" width=""300""></div>","arrowdown","","true","experiment","visual/train.png","visual/screw.png","ArrowDown","NR","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","717339","0.0-6.0-0.5","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","717852","0.0-6.0-1.5","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","720371","0.0-6.0-2.5","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","2517.699999988079","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/bin.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/chin.png"" width=""300""></div>","arrowup","","true","experiment","visual/bin.png","visual/chin.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","721387","0.0-6.0-0.6","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","721902","0.0-6.0-1.6","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","723732","0.0-6.0-2.6","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1829.0999999642372","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/cat.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/hat.png"" width=""300""></div>","arrowup","","true","experiment","visual/cat.png","visual/hat.png","ArrowUp","ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","724735","0.0-6.0-0.7","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","1000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","725251","0.0-6.0-1.7","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","727016","0.0-6.0-2.7","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","1763.5","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/bear.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/hair.png"" width=""300""></div>","arrowup","","true","experiment","visual/bear.png","visual/hair.png","ArrowUp","non-ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","727278","0.0-6.0-0.8","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","727781","0.0-6.0-1.8","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:14%;top:30%""><img src=""square.png"" width=""306"" height=""306"" style=""position: fixed;left:64%;top:30%"">","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","730042","0.0-6.0-2.8","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","2259.900000035763","rhyme","<div style=""border: 3px solid #000000; position: fixed;left:14%;top:30%""><img src=""visual/dart.png"" width=""300""></div><div style=""border: 3px solid #000000; position: fixed;left:64%;top:30%""><img src=""visual/heart.png"" width=""300""></div>","arrowup","","true","experiment","visual/dart.png","visual/heart.png","ArrowUp","non-ortho","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","730306","0.0-6.0-0.9","A2PUL3ZDXOW0VZ","2022-05-23T18:27:34.946Z","rhyme-task_switching-same_different-phon_sim","","null","rhyme","<div style=""font-size:60px;"">+</div>","null","250","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
