"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg"
"true","false","[]","[]","[]","preload","0","8395","0.0-0.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","19046","0.0-1.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":10649.600000023842}]","10649.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21804","0.0-2.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","45095","0.0-3.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":23290.200000047684}]","23290.300000071526","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","53113","0.0-4.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","[{""page_index"":0,""viewing_time"":8015.799999952316}]","8015.899999976158","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","55133","0.0-5.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","2010.6999999284744","task_switching","{""subtraction_ans"":""14""}","training","17","subtraction","14","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","56139","0.0-6.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","58984","0.0-7.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","2842.6999999284744","task_switching","{""subtraction_ans"":""84""}","training","87","subtraction","84","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","59987","0.0-8.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","62985","0.0-9.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","2992.2000000476837","task_switching","{""subtraction_ans"":""59""}","training","62","subtraction","59","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","63995","0.0-10.0","A2PWUACCQI97J8","2022-05-22T22:19:56.198Z","task_switching-phon_sim-rhyme-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
