"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","trial_no","symbol_cue","color_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","true_neg","true_pos","false_pos","false_neg","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5"
"true","false","[]","[]","[]","preload","0","2314","0.0-0.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","14269","0.0-1.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":11954.300000000745}]","11954.39999999851","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21826","0.0-2.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","48407","0.0-3.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":26580.400000002235}]","26580.5","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","54037","0.0-4.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":5629.10000000149}]","5629.20000000298","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","56958","0.0-5.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","2912.60000000149","task_switching","{""subtraction_ans"":""60""}","training","63","subtraction","60","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","57961","0.0-6.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","60182","0.0-7.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","2220.300000000745","task_switching","{""subtraction_ans"":""79""}","training","82","subtraction","79","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","61184","0.0-8.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","63606","0.0-9.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","2419.699999999255","task_switching","{""subtraction_ans"":""88""}","training","91","subtraction","88","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","64606","0.0-10.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","66412","0.0-11.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","1804.300000000745","task_switching","{""subtraction_ans"":""85""}","training","88","subtraction","85","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","67412","0.0-12.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","69372","0.0-13.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","1958.800000000745","task_switching","{""subtraction_ans"":""96""}","training","99","subtraction","96","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","70374","0.0-14.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","72218","0.0-15.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","1843.2000000029802","task_switching","{""subtraction_ans"":""61""}","training","64","subtraction","61","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","73220","0.0-16.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","74675","0.0-17.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","1453.0999999977648","task_switching","{""subtraction_ans"":""21""}","training","24","subtraction","21","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","75676","0.0-18.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","77871","0.0-19.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","2194.10000000149","task_switching","{""subtraction_ans"":""37""}","training","40","subtraction","37","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","78872","0.0-20.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","81290","0.0-21.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","2417.7000000029802","task_switching","{""subtraction_ans"":""41""}","training","44","subtraction","41","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","82292","0.0-22.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","85829","0.0-23.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","3535.199999999255","task_switching","{""subtraction_ans"":""48""}","training","51","subtraction","48","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","86830","0.0-24.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","90404","0.0-25.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":3574.199999999255}]","3574.39999999851","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","92320","0.0-26.0","A9LSEP71DNP4O","2022-05-23T17:52:01.309Z","task_switching-rhyme-same_different-phon_sim","","1914.0999999977648","task_switching","{""subtraction_ans"":""48""}","experiment","51","subtraction","48","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
