"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_pos","false_neg","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","wait_time","image_1","image_2","cor_key","type"
"true","false","[]","[]","[]","preload","0","60","0.0-0.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24289","0.0-1.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","[{""page_index"":0,""viewing_time"":24228.80000001192}]","24229","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","28214","0.0-2.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","69024","0.0-3.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","[{""page_index"":0,""viewing_time"":40808.39999997616}]","40808.59999999404","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","72211","0.0-4.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","[{""page_index"":0,""viewing_time"":3186.0999999940395}]","3186.300000011921","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","73908","0.0-5.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","1694.300000011921","task_switching","{""subtraction_ans"":""33""}","training","36","subtraction","33","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","74909","0.0-6.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","77479","0.0-7.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","2568.399999976158","task_switching","{""subtraction_ans"":""13""}","training","16","subtraction","13","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","78492","0.0-8.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","80221","0.0-9.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","1727.2000000178814","task_switching","{""subtraction_ans"":""55""}","training","58","subtraction","55","true","subtract","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","81222","0.0-10.0","A337X6ZE9WIIU7","2022-05-24T03:50:46.200Z","task_switching-same_different-phon_sim-rhyme","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","subtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
