"event","trial","time"
"blur","0","3444"
"focus","1","10766"
"fullscreenenter","2","13581"
"blur","3","17477"
"focus","3","17477"
"fullscreenexit","11","74231"
"blur","11","74703"
"focus","12","84273"
"blur","13","89324"
"focus","14","102560"
"blur","15","107816"
"focus","16","120437"
"blur","17","127176"
"focus","18","140735"
"blur","19","146732"
"focus","19","152353"
"blur","19","152726"
"focus","20","159734"
"blur","21","168081"
"focus","21","178023"
"blur","21","178314"
"focus","21","178955"
"blur","21","179096"
"focus","22","180520"
"blur","23","185557"
"focus","23","186064"
"blur","23","186205"
"focus","23","189578"
"blur","23","189956"
"focus","23","192012"
"blur","23","192203"
"focus","24","199419"
"blur","25","206500"
"focus","25","209682"
"blur","25","210326"
"focus","26","220373"
"blur","27","225450"
"focus","27","226528"
"blur","27","226847"
"focus","27","235533"
"blur","27","235679"
"focus","27","237165"
"blur","27","237406"
"focus","27","237835"
"blur","29","245443"
"focus","29","248820"
"blur","29","249025"
"focus","30","259412"
"blur","31","264293"
"focus","32","277180"
"blur","33","285532"
"focus","34","299200"
"blur","35","303691"
"focus","36","316994"
"blur","37","322529"
"focus","38","335740"
"blur","39","340565"
"focus","40","354364"
"blur","41","359945"
"focus","41","369643"
"blur","43","377789"
"focus","44","390096"
"blur","45","395245"
"focus","46","408750"
"blur","47","414483"
"focus","48","427147"
"blur","49","433445"
"focus","50","446531"
"blur","51","452092"
"focus","52","465304"
"blur","53","471184"
"focus","54","484759"
"blur","55","489948"
"focus","56","502606"
"blur","57","509801"
"focus","57","521855"
"blur","59","531516"
"focus","59","551093"
"blur","285","812409"
"focus","285","813848"
"blur","1092","1570335"
"focus","1093","1571043"
