"event","trial","time"
"blur","2","33794"
"focus","2","38999"
"fullscreenenter","2","41825"
"fullscreenexit","108","1185415"
"blur","108","1186050"
"focus","108","1191742"
"blur","150","1426650"
"focus","150","1428938"
"blur","160","1500265"
"focus","160","1502080"
"blur","160","1503034"
"focus","160","1561195"
"blur","201","1822290"
"focus","201","1823852"
"blur","233","1972826"
"focus","233","1976194"
"blur","267","2194921"
"focus","267","2197248"
"blur","267","2197889"
"focus","267","2201179"
"blur","666","2615041"
"focus","666","2632905"
