"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","judgment_type","stim_1","stim_2","inverted","false_pos","true_neg","true_pos","false_neg"
"true","false","[]","[]","[]","preload","0","18986","0.0-0.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","24937","0.0-1.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":5948}]","5948.399999999907","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","42721","0.0-2.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","69768","0.0-3.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":27046.299999999814}]","27046.799999999814","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","103952","0.0-4.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","[{""page_index"":0,""viewing_time"":34182.200000000186}]","34182.60000000009","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","109896","0.0-5.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","5912","task_switching","{""addition_ans"":""61""}","training","61","addition","61","false","add","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","114915","0.0-6.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkred; font-size:40px"">That was just the same number!<p> Correct answer: 64</p></div>","addition","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","138161","0.0-7.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","23241.600000000093","task_switching","{""addition_ans"":""41""}","training","39","addition","41","false","add","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","143173","0.0-8.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","null","task_switching","null","training","<div style=""color:darkred; font-size:40px"">Right direction but be careful with the numbers.<p> Correct answer: 42</p></div>","addition","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","149034","0.0-9.0","A2683ZVNWI119A","2022-05-27T04:27:08.906Z","task_switching-rhyme-same_different-phon_sim","","5856.5","task_switching","{""addition_ans"":""63""}","training","59","addition","63","false","add","","","","","","","","","","","","","","","","","","",""
