"event","trial","time"
"fullscreenenter","2","7501"
"fullscreenexit","3","8650"
"blur","16","67286"
"focus","16","68700"
"blur","16","70794"
"focus","16","273565"
"blur","59","333271"
"focus","60","333688"
"blur","61","334979"
"focus","61","335976"
"blur","63","337562"
"focus","64","338950"
"blur","73","349413"
"focus","73","351637"
"blur","189","489057"
"focus","189","489123"
"blur","197","857611"
"focus","197","896480"
"blur","197","896490"
"focus","197","1305745"
"blur","198","1345639"
"focus","198","1346494"
"blur","232","1704557"
"focus","232","1705683"
"blur","233","1729723"
"focus","233","1738501"
"blur","234","1748350"
"focus","234","1750947"
"blur","252","1952773"
"focus","252","1953617"
"blur","658","2347465"
"focus","659","2348407"
"blur","889","2517770"
"focus","890","2518861"
"blur","893","2520353"
"focus","894","2521057"
"blur","1069","2661226"
"focus","1069","2675985"
"blur","1226","3043590"
"focus","1226","3070063"
"blur","1245","3107450"
"focus","1245","3115114"
"blur","1247","3120723"
"focus","1247","3194972"
"blur","1247","3195208"
"focus","1247","3195826"
