"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","worker_id","start_time","experiment_order","view_history","rt","experiment","response","phase","stimulus","condition","answer","correct","operation","color_cue","trial_no","symbol_cue","question_order","talk_out_loud","strategy_free_ans","wait_time","image_1","image_2","cor_key","type","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","judgment_type","stim_1","stim_2","inverted","true_pos","true_neg","false_neg","false_pos"
"true","false","[]","[]","[]","preload","0","2184","0.0-0.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","1","13816","0.0-1.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":11630.299999952316}]","11630.599999904633","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","29709","0.0-2.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","55183","0.0-3.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":25472.799999952316}]","25472.900000095367","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","4","61552","0.0-4.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":6367.600000143051}]","6367.799999952316","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","5","64812","0.0-5.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3254.7000000476837","task_switching","{""addition_ans"":""99""}","training","96","addition","99","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","65822","0.0-6.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","7","69254","0.0-7.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3427.7000000476837","task_switching","{""addition_ans"":""20""}","training","17","addition","20","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","70256","0.0-8.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","9","73532","0.0-9.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3272.4000000953674","task_switching","{""addition_ans"":""68""}","training","65","addition","68","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","74533","0.0-10.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","11","77734","0.0-11.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3196.399999856949","task_switching","{""addition_ans"":""26""}","training","23","addition","26","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","78736","0.0-12.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","13","81682","0.0-13.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2943.199999809265","task_switching","{""addition_ans"":""42""}","training","39","addition","42","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","82694","0.0-14.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","15","85838","0.0-15.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3140.7999999523163","task_switching","{""addition_ans"":""96""}","training","93","addition","96","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","86840","0.0-16.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","17","89985","0.0-17.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3143.2000000476837","task_switching","{""addition_ans"":""18""}","training","15","addition","18","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","90987","0.0-18.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","19","93956","0.0-19.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2966.2000000476837","task_switching","{""addition_ans"":""53""}","training","50","addition","53","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","94967","0.0-20.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","21","97939","0.0-21.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2969.2000000476837","task_switching","{""addition_ans"":""54""}","training","51","addition","54","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","98941","0.0-22.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","23","101759","0.0-23.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2814.5","task_switching","{""addition_ans"":""44""}","training","41","addition","44","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","102760","0.0-24.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","null","task_switching","null","training","<div style=""color:darkgreen; font-size:60px"">Well done!</div>","addition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","25","107029","0.0-25.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","[{""page_index"":0,""viewing_time"":4267.300000190735}]","4267.600000143051","task_switching","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","26","110109","0.0-26.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3077.800000190735","task_switching","{""addition_ans"":""55""}","experiment","52","addition","55","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","27","113499","0.0-27.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3387.9000000953674","task_switching","{""addition_ans"":""76""}","experiment","73","addition","76","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","28","118855","0.0-28.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","5354.800000190735","task_switching","{""addition_ans"":""80""}","experiment","77","addition","80","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","29","121961","0.0-29.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3103.7999999523163","task_switching","{""addition_ans"":""99""}","experiment","96","addition","99","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","30","125123","0.0-30.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3159.7000000476837","task_switching","{""addition_ans"":""31""}","experiment","28","addition","31","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","31","128003","0.0-31.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2878.2000000476837","task_switching","{""addition_ans"":""28""}","experiment","25","addition","28","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","32","131449","0.0-32.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3444.0999999046326","task_switching","{""addition_ans"":""46""}","experiment","43","addition","46","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","33","134579","0.0-33.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3127.7999999523163","task_switching","{""addition_ans"":""19""}","experiment","16","addition","19","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","34","137476","0.0-34.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2895.2000000476837","task_switching","{""addition_ans"":""73""}","experiment","70","addition","73","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","35","140526","0.0-35.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3047.7000000476837","task_switching","{""addition_ans"":""88""}","experiment","85","addition","88","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","36","146396","0.0-36.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","5867.5","task_switching","{""addition_ans"":""57""}","experiment","54","addition","57","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","37","149408","0.0-37.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3009.5","task_switching","{""addition_ans"":""90""}","experiment","87","addition","90","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","38","152583","0.0-38.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3173.0999999046326","task_switching","{""addition_ans"":""79""}","experiment","76","addition","79","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","39","155258","0.0-39.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2673.2999999523163","task_switching","{""addition_ans"":""50""}","experiment","47","addition","50","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","40","158321","0.0-40.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3061.2000000476837","task_switching","{""addition_ans"":""36""}","experiment","33","addition","36","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","41","161308","0.0-41.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2985.0999999046326","task_switching","{""addition_ans"":""38""}","experiment","35","addition","38","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","42","164489","0.0-42.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3179.4000000953674","task_switching","{""addition_ans"":""18""}","experiment","15","addition","18","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","43","167267","0.0-43.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2775.800000190735","task_switching","{""addition_ans"":""64""}","experiment","61","addition","64","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","44","170402","0.0-44.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3133.0999999046326","task_switching","{""addition_ans"":""14""}","experiment","11","addition","14","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","45","173484","0.0-45.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3079.899999856949","task_switching","{""addition_ans"":""74""}","experiment","71","addition","74","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","46","176444","0.0-46.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2958.100000143051","task_switching","{""addition_ans"":""20""}","experiment","17","addition","20","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","47","179384","0.0-47.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","2938.2000000476837","task_switching","{""addition_ans"":""40""}","experiment","37","addition","40","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","48","182748","0.0-48.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3362.0999999046326","task_switching","{""addition_ans"":""89""}","experiment","86","addition","89","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","survey-text","49","185763","0.0-49.0","A2WX434EAQOE29","2022-05-26T23:54:42.253Z","task_switching-rhyme-phon_sim-same_different","","3013.7000000476837","task_switching","{""addition_ans"":""48""}","experiment","45","addition","48","true","add","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
