"event","trial","time"
"blur","2","37265"
"focus","2","38574"
"blur","2","85711"
"focus","2","549203"
"fullscreenenter","2","551327"
"fullscreenexit","371","1587186"
"blur","371","1588657"
"focus","371","1914444"
"blur","371","1915348"
"focus","371","2088241"
"blur","394","2102889"
"focus","395","2165662"
"blur","398","2168941"
"focus","399","2195401"
"blur","407","2226494"
"focus","407","2229608"
"blur","407","2240493"
"focus","407","2546899"
"blur","407","2567809"
"focus","407","2719886"
"blur","407","2726974"
"focus","407","2842914"
"blur","457","2881050"
"focus","457","3020145"
"blur","473","3034298"
"focus","473","3102035"
"blur","565","3211206"
"focus","565","3311844"
"blur","565","3312786"
"focus","565","3317871"
"blur","865","4096274"
"focus","865","4099025"
"blur","1136","5220906"
"focus","1136","5230940"
"blur","1191","5305484"
"focus","1191","5306394"
