"","event","trial","time","worker_id"
"1","fullscreenenter",2,11605,"IMlP20yi"
"2","fullscreenenter",2,131281,"XTcCmXvP"
"3","fullscreenenter",2,29377,"xa4C6HC1"
"4","fullscreenenter",2,26032,"4FubSY7J"
"5","fullscreenenter",2,7225,"ycrZF9Ui"
"6","fullscreenexit",5,23839,"ycrZF9Ui"
"7","blur",5,23842,"ycrZF9Ui"
"8","focus",5,30027,"ycrZF9Ui"
"9","blur",5,46402,"ycrZF9Ui"
"10","focus",5,47287,"ycrZF9Ui"
"11","blur",50,600386,"ycrZF9Ui"
"12","focus",50,601153,"ycrZF9Ui"
"13","focus",0,2,"OwZfp5qv"
"14","fullscreenenter",2,49812,"OwZfp5qv"
"15","focus",1021,1312633,"1hM1LUCj"
"16","fullscreenenter",2,5118,"1hM1LUCj"
"17","fullscreenenter",2,25814,"1hM1LUCj"
"18","blur",1021,1311096,"1hM1LUCj"
"19","fullscreenexit",1074,2219952,"1hM1LUCj"
"20","focus",0,1583,"1hM1LUCj"
"21","focus",0,1584,"1hM1LUCj"
"22","blur",2,59718,"IbadRTNw"
"23","focus",2,63408,"IbadRTNw"
"24","fullscreenenter",2,65203,"IbadRTNw"
"25","fullscreenexit",160,795950,"IbadRTNw"
"26","blur",160,806958,"IbadRTNw"
"27","focus",160,810565,"IbadRTNw"
"28","blur",872,1841980,"IbadRTNw"
"29","focus",872,1867813,"IbadRTNw"
"30","blur",872,1873220,"IbadRTNw"
"31","focus",872,2497231,"IbadRTNw"
"32","blur",1073,2637576,"IbadRTNw"
"33","focus",1073,2639419,"IbadRTNw"
"34","blur",1073,2645028,"IbadRTNw"
"35","focus",1073,2887993,"IbadRTNw"
"36","blur",1073,2891202,"IbadRTNw"
"37","focus",1073,2891936,"IbadRTNw"
"38","blur",1073,2891941,"IbadRTNw"
"39","focus",1073,2893822,"IbadRTNw"
"40","blur",1073,2893824,"IbadRTNw"
"41","focus",1073,13848009,"IbadRTNw"
"42","fullscreenenter",2,30447,"xnNpmgQR"
"43","blur",2,46395,"mqvAJ91n"
"44","focus",2,46397,"mqvAJ91n"
"45","fullscreenenter",2,46424,"mqvAJ91n"
"46","focus",2,46660,"mqvAJ91n"
"47","fullscreenexit",5,82680,"mqvAJ91n"
"48","blur",725,1914455,"mqvAJ91n"
"49","focus",725,2030859,"mqvAJ91n"
"50","focus",725,2030859,"mqvAJ91n"
"51","blur",2,46398,"mqvAJ91n"
"52","fullscreenenter",2,34739,"NS1YHcvi"
"53","blur",0,597,"BfCux7Qy"
"54","focus",1,4820,"BfCux7Qy"
"55","fullscreenenter",2,10275,"BfCux7Qy"
"56","blur",9,57075,"BfCux7Qy"
"57","focus",1,4820,"BfCux7Qy"
"58","focus",9,57150,"BfCux7Qy"
"59","blur",1,10386,"yduNAfJN"
"60","focus",1,11621,"yduNAfJN"
"61","fullscreenenter",2,32727,"yduNAfJN"
"62","blur",129,852793,"fbKqS6qy"
"63","focus",129,870590,"fbKqS6qy"
"64","blur",730,2619049,"fbKqS6qy"
"65","fullscreenenter",2,31298,"fbKqS6qy"
"66","blur",730,10938813,"fbKqS6qy"
"67","fullscreenexit",730,10924313,"fbKqS6qy"
"68","blur",730,10926716,"fbKqS6qy"
"69","focus",730,10919758,"fbKqS6qy"
"70","focus",730,12767536,"fbKqS6qy"
"71","focus",730,12767537,"fbKqS6qy"
"72","focus",730,10934993,"fbKqS6qy"
"73","fullscreenenter",2,17608,"y1Ud0IvQ"
"74","focus",1321,2361715,"hRiDYGB2"
"75","fullscreenenter",2,18118,"hRiDYGB2"
"76","blur",1321,2361441,"hRiDYGB2"
"77","focus",1321,2361715,"hRiDYGB2"
"78","fullscreenenter",2,8590,"8yyEgSuX"
"79","blur",809,659646,"8yyEgSuX"
"80","focus",809,673140,"8yyEgSuX"
"81","blur",1138,1275445,"8yyEgSuX"
"82","focus",1138,1278738,"8yyEgSuX"
"83","fullscreenenter",2,6005,"8yyEgSuX"
"84","blur",1,24559,"2dXRa5Zq"
"85","focus",1,1030396,"2dXRa5Zq"
"86","fullscreenenter",2,1037270,"2dXRa5Zq"
"87","fullscreenexit",205,1202681,"2dXRa5Zq"
"88","blur",205,1203960,"2dXRa5Zq"
"89","focus",205,1259160,"2dXRa5Zq"
"90","blur",205,1389459,"2dXRa5Zq"
"91","focus",205,1863394,"2dXRa5Zq"
"92","blur",205,2005938,"2dXRa5Zq"
"93","focus",205,2014804,"2dXRa5Zq"
"94","blur",205,2145561,"2dXRa5Zq"
"95","focus",205,2198079,"2dXRa5Zq"
"96","blur",205,2215898,"2dXRa5Zq"
"97","focus",205,2237344,"2dXRa5Zq"
"98","blur",205,2264876,"2dXRa5Zq"
"99","focus",205,2300677,"2dXRa5Zq"
"100","blur",608,2592552,"2dXRa5Zq"
"101","focus",608,2704581,"2dXRa5Zq"
"102","blur",809,2969640,"2dXRa5Zq"
"103","focus",809,2970065,"2dXRa5Zq"
"104","blur",872,3874577,"2dXRa5Zq"
"105","focus",872,41726375,"2dXRa5Zq"
"106","blur",872,41754556,"2dXRa5Zq"
"107","focus",872,41760430,"2dXRa5Zq"
"108","blur",1278,42741892,"2dXRa5Zq"
"109","focus",1278,43540162,"2dXRa5Zq"
"110","blur",1278,43541823,"2dXRa5Zq"
"111","focus",1278,53519180,"2dXRa5Zq"
"112","blur",1278,53625922,"2dXRa5Zq"
"113","focus",1278,53987957,"2dXRa5Zq"
"114","blur",1278,53991399,"2dXRa5Zq"
"115","focus",1278,55510825,"2dXRa5Zq"
"116","blur",1,28488,"4KFmznfv"
"117","focus",1,33904,"4KFmznfv"
"118","fullscreenenter",2,48330,"4KFmznfv"
"119","blur",2,22629,"7eDZS0g9"
"120","focus",2,23838,"7eDZS0g9"
"121","fullscreenenter",2,25471,"7eDZS0g9"
"122","focus",1128,3817169,"7eDZS0g9"
"123","blur",1128,3819366,"7eDZS0g9"
"124","focus",1128,3869367,"7eDZS0g9"
"125","blur",1128,2581849,"7eDZS0g9"
"126","blur",2,67283,"gmTxt8dp"
"127","focus",2,67284,"gmTxt8dp"
"128","blur",2,67285,"gmTxt8dp"
"129","fullscreenenter",2,67297,"gmTxt8dp"
"130","focus",2,67531,"gmTxt8dp"
"131","fullscreenexit",811,810524,"gmTxt8dp"
"132","focus",0,2,"Ki4GHif7"
"133","fullscreenenter",2,28817,"Ki4GHif7"
"134","blur",1,16202,"qkCSFiGm"
"135","focus",1,16899,"qkCSFiGm"
"136","fullscreenenter",2,28474,"qkCSFiGm"
"137","fullscreenenter",2,9560,"Po8DLpvd"
"138","fullscreenenter",2,9560,"Po8DLpvd"
"139","fullscreenenter",2,11810,"U8Rxi9rz"
"140","focus",0,596,"WewWn58j"
"141","fullscreenenter",2,11143,"WewWn58j"
"142","blur",1136,2482004,"WewWn58j"
"143","focus",1136,2482844,"WewWn58j"
"144","fullscreenenter",2,43397,"8Mnv01S8"
"145","blur",259,1259356,"Ds5BnIYz"
"146","fullscreenenter",2,41063,"Ds5BnIYz"
"147","focus",259,1353212,"Ds5BnIYz"
"148","fullscreenenter",2,26366,"ozMU0TCL"
