"","event","trial","time","participant"
"1","focus",0,263,"A10JXOU89D5RXR"
"2","fullscreenenter",2,14611,"A10JXOU89D5RXR"
"3","blur",0,716,"A1CFMY4CEYOM8Y"
"4","focus",1,10472,"A1CFMY4CEYOM8Y"
"5","fullscreenenter",2,16203,"A1CFMY4CEYOM8Y"
"6","fullscreenenter",2,9348,"A1F9KLZGHE9DTA"
"7","focus",1,1742,"A1JJYY622DGE5L"
"8","fullscreenenter",2,6263,"A1JJYY622DGE5L"
"9","blur",1,7814,"A1WH32GYQOHIRQ"
"10","focus",1,39083,"A1WH32GYQOHIRQ"
"11","fullscreenenter",2,44396,"A1WH32GYQOHIRQ"
"12","fullscreenexit",14,237700,"A1WH32GYQOHIRQ"
"13","blur",14,239600,"A1WH32GYQOHIRQ"
"14","focus",14,241687,"A1WH32GYQOHIRQ"
"15","blur",20,414954,"A1WH32GYQOHIRQ"
"16","focus",20,441515,"A1WH32GYQOHIRQ"
"17","blur",36,755001,"A1WH32GYQOHIRQ"
"18","focus",36,783260,"A1WH32GYQOHIRQ"
"19","blur",115,1347660,"A1WH32GYQOHIRQ"
"20","focus",115,1352334,"A1WH32GYQOHIRQ"
"21","blur",136,1420395,"A1WH32GYQOHIRQ"
"22","focus",136,1504245,"A1WH32GYQOHIRQ"
"23","blur",725,2561061,"A1WH32GYQOHIRQ"
"24","focus",725,2567875,"A1WH32GYQOHIRQ"
"25","blur",725,2580545,"A1WH32GYQOHIRQ"
"26","focus",725,2940226,"A1WH32GYQOHIRQ"
"27","focus",1,12033,"A2PUL3ZDXOW0VZ"
"28","fullscreenenter",2,60068,"A2PUL3ZDXOW0VZ"
"29","blur",872,2940193,"A2PUL3ZDXOW0VZ"
"30","focus",872,2989227,"A2PUL3ZDXOW0VZ"
"31","focus",0,68,"A2SKY4RRWII0BF"
"32","blur",0,1043,"A2SKY4RRWII0BF"
"33","focus",0,1870,"A2SKY4RRWII0BF"
"34","blur",0,4524,"A2SKY4RRWII0BF"
"35","focus",1,7355,"A2SKY4RRWII0BF"
