"","workerId","VerbalScored"
"1","A22HIX1M4QXZBB",4.58
"2","A304UJAE051J89",4.75
"3","ATU582WJWMEL2",4.83
"4","A2T675UCHNTSSW",2
"5","A2QTL039A5VV3I",1.83
"6","A1QM5M345G57PU",4
"7","A1U5FQ8OW5UCZR",4.25
"8","A2MMWPTR6X2PL6",2.5
"9","A1BM57TUNAQIXM",2.17
"10","A2OVWCQ4B9AHFY",2.42
"11","A1ACXKVOUQ19DX",2
"12","A2JME2H8YSM0OZ",3.5
"13","A1P2RQ166VS5BT",2.42
"14","A37JC45Y9GLSA7",2.42
"15","AJACXA5FC5BYZ",4.25
"16","AXPZAP62ZYWP8",3.83
"17","A27VFM67RPD2L5",4
"18","A3H7WFRISBGM1K",2.33
"19","ANYB94DHDJKNO",4.5
"20","A3L0DCUXI7X3A9",3.75
"21","A2S2QT705DCD80",2.75
"22","A1DAE5BXJ5ED9O",3.33
"23","A3W0HQHLD5XTS7",3.67
"24","A2WJMGV0HKQG3Z",4.67
"25","A1XKXYY27WP8EX",2.5
"26","A2EGP04PEJIIEE",3.25
"27","A2RMJNF6IPI42F",4.42
"28","A30FDMYF959E69",4.08
"29","A20SV2JD0WUWV3",4.25
"30","A22JUZF4ZNSNNC",3.5
"31","AL27L5KODGX3H",4
"32","A35CHBMYRAXDNZ",1.5
"33","A2Z771VXMLRYTR",3.92
"34","A2R93OEJ9TOWV6",2.42
"35","A2CT3RNCO1OM72",4
"36","A1SXGBPTIWBPI6",4.17
"37","AZX9SQ6Q69LJ8",3.75
"38","A18R8VOH72BF3L",3.33
"39","A2ZRO9BP4BW5QR",3.92
"40","A2PQDK3MLDFXYM",4
"41","A1SQG9MJDO7OPM",3.67
"42","A2MOKIEQZ0OF2M",4.92
"43","A3J2UG22S8BIW4",3.92
"44","AOS2PVHT2HYTL",4.08
"45","APJPQ6IW85JL6",4.33
"46","AKNBC1TE88NDO",4
"47","A3RS595PZXE9AT",3.75
"48","AJQ71YIGY01HZ",4.33
"49","AOOLS8280CL0Z",2.83
"50","AQ8TJLOZRYS2V",4.25
"51","AS5VETUF7QGLL",4.17
"52","A2YC6PEMIRSOAA",3.33
"53","A3B8B0FGJXH58K",4
"54","A21DBLL90809VK",4.08
"55","A3QXFWX1PVH5MJ",3
"56","A1TW2BZRRS874Z",4.08
"57","A2RR41L4V3RUOV",4
"58","A1X87R9U7SWTGJ",3.58
"59","A1DUPOUC9RNU4L",2.25
"60","A1RUBSQBBOJHPO",3.83
"61","A28C4YC9WPNYG2",3.58
"62","AMNM3F2XO847S",3.33
"63","A2RREI7Z5EVR2X",3.92
"64","A1S4DO76IOZ0L8",4.42
"65","ADD4CIDYCKN66",3.5
"66","AFM65NU0UXIGP",2.83
"67","A75HJLMVANNZD",3.67
"68","A15XV3HYP99W8T",3.92
"69","AALJCRJFWLGZO",4.08
"70","A36BETX5G9BSZ2",4.08
"71","A1PNBO2A6UZXRC",3.5
"72","A8C3WNWRBWUXO",2.17
"73","A2EBGIJB58YN47",4.33
"74","AKWO0LSYVSBTE",3.42
"75","A1O4YE320W36HP",3.5
"76","A3V2XCDF45VN9X",3.67
"77","AK77EA1UZ8KJG",4.08
"78","A2UC3CDVQNVPQ8",4.08
"79","A26NGLGGFTATVN",3.25
"80","A1PUSSRD8P5HHH",2.67
"81","A3JC9VPPTHNKVL",2.5
"82","AOEDXO4FX2YFH",3.75
"83","A1E6WYKURJGIJM",4.25
"84","A1MXMSRSG60UXY",4.42
"85","A3QAL3X23LHJRV",3.67
"86","AO9WMBF58DBF4",3.92
"87","A3VZQ5UF89MH9T",4
"88","A2AAY4VT9L71SY",4.17
"89","ACUNR2VTDSRJU",4.33
"90","AQ1PTX596CKUH",3.83
"91","A2ESXCJ1NQ34NP",3.58
"92","A8UJNIY9R8S7W",3.83
"93","A89HSG51VTPP0",4.75
"94","A222GZB608T1B8",4.42
"95","A235DXY5FJN0IW",3.83
"96","A3HNEYFOIJWPH1",2.67
"97","A3E8GX5T7ZERPV",4.25
"98","A1H5Q9HRH4RPZU",3.5
"99","A3AMYSDM0UFLQY",2.92
"100","A1LYXQKD0Y2U8W",4.17
"101","A1Y8BGDLPNYP0K",3.5
"102","ADXHWQLUQBK77",3.33
"103","A2LPVNAJP8ZO0O",3.33
"104","A1YTBOZW6AJSYY",4.25
"105","A134UKUZ5CZ5XP",3.67
"106","A129V6A5AP00RR",3.83
"107","A341XKSRZ58FJK",4.17
"108","A14B0YCUB99SK9",2.75
"109","A2BNOEYZ3VRW2R",3.42
"110","A1LENHSFWGC5EU",3.58
"111","A1PTH9KTRO06EG",4.5
"112","AD1ILDUXZHASF",2.92
"113","A2XS49LRNX8PD4",4.42
"114","A19O7OCARDFGDS",3.17
"115","A3CO5CQKQGP1D0",4.42
"116","AHZ7C7ETHYX3N",4.17
"117","A2AJ5QFNC9KF43",4.33
"118","AZNIEFUIVB2H0",3.58
"119","A1ZRK6K5JUPJAV",3.08
"120","A2TB4PAKPSQOME",3.33
"121","A2R8IV2PWFTY00",4.25
"122","A1H9Y8CYXMNWGI",3.5
"123","A2NQX5RO3ZQM6Y",4
"124","A2PYZXUHJIGPHX",3.83
"125","A2P65VCJIAZOYW",3.5
"126","AD767SR7PDZBJ",4.08
"127","A12D72T0QFZ0B0",3.33
"128","A3ADHMAWDD7M6V",3.42
"129","A25LSAI6X7VYC7",4.08
"130","A1ZPM04AMTA140",4.42
"131","AB09F0Q4T10TE",3.08
"132","A1R780RJYQ68GY",3.25
"133","A1AK3QDDZ2V7OP",4.25
"134","A163XFZG5BI0XU",4.08
"135","A19L8SNH73AX1Z",2.83
"136","A2C2WXXKJOLCZ2",4.17
"137","A3TDE0OPWADJJN",3.67
"138","ASVRLMDNQBUD9",3.58
"139","A1PZIN8H1VI6SY",4
"140","A68J20100VW4W",3.58
"141","A3MXI2O3JZ0TZH",4.67
"142","A12HZGOZQD5YK7",2.58
"143","AURYD2FH3FUOQ",1
"144","A2SH1ZSEUXFCL9",3.5
"145","A2O2WL2027NMRJ",3.67
"146","A1QFAV62Q768UO",3
"147","AIH56KS15E0CY",3.5
"148","A1K8QNLYYYX21W",3.17
"149","A1ROEDVMTO9Y3X",3.08
"150","AXQV0IUI1UBKR",4.17
"151","A2ZJAEL03VTZ8",3.42
"152","A30FUOPL8EUU9Z",3.75
"153","A1T2DNHW3MXNOX",4
"154","A2NDFVJ16H9UZP",4.25
"155","A3FNC8ELMK8YJA",1.75
"156","A1YPJV8HN5DF28",3.67
"157","A2NH0M42EMVJ76",4
"158","A1A0F0BAX3CDTF",4
"159","A3785TR8D5I81Q",4.17
"160","A36OFM4AUCL6T9",4.08
"161","A3E8SXH0BAYG85",3.17
"162","A6KB4VHCZYTY2",2.67
"163","A3M79JMJQZTP7H",3.83
"164","A34LSCB90T5KYE",3.92
"165","A3L4JI1S352HB8",3
"166","AXYH0X5CG9IV7",4.5
"167","A1KFLAIBG039ET",3.25
"168","A3MIDLO5S7FU06",4
"169","A11R8J2QF74P1R",3.92
"170","A2ST041VUNL4VZ",3.17
"171","A1K5FYRFJXP6OD",4.17
"172","AKRKSCSO3PAC6",3.08
"173","A32HFMZVTLF1JG",3.58
"174","A3EUH97BRHRSI6",3.58
"175","A1KP0NAHZZSK6P",3.58
"176","A3JUPCWYN6N6H4",4.17
"177","A2BW6WD7LZ9EGV",3.75
"178","A2FJH57EPE1B31",3.92
"179","A1L6IQNZY00VXJ",3.83
