Verbal;Visual;Manipulation;Orthographic;Catch;workerId;VerbalScored;VisualScored;ManipulationScored;OrthographicScored
13;15;27;10;2;958;108.333.333.333.333;1.3;1.625;216.666.666.666.667
18;33;15;9;2;959;1.5;1.8;2.25;3
21;18;15;8;2;960;1.75;2.1;2.625;3.5
25;23;20;12;2;961;208.333.333.333.333;2.5;3.125;416.666.666.666.667
26;28;25;12;2;962;216.666.666.666.667;2.6;3.25;433.333.333.333.333
29;28;29;9;2;963;241.666.666.666.667;2.9;3.625;483.333.333.333.333
30;32;35;11;2;964;2.5;3;3.75;5
35;34;20;14;2;965;291.666.666.666.667;3.5;4.375;583.333.333.333.333
35;33;23;18;2;966;291.666.666.666.667;3.5;4.375;583.333.333.333.333
36;41;35;10;2;967;3;3.6;4.5;6
37;35;33;16;2;968;308.333.333.333.333;3.7;4.625;616.666.666.666.667
38;37;29;18;2;969;316.666.666.666.667;3.8;4.75;633.333.333.333.333
38;28;27;20;2;970;316.666.666.666.667;3.8;4.75;633.333.333.333.333
39;42;32;7;2;971;3.25;3.9;4.875;6.5
39;41;36;10;2;972;3.25;3.9;4.875;6.5
39;36;29;23;2;973;3.25;3.9;4.875;6.5
39;30;24;17;2;974;3.25;3.9;4.875;6.5
40;41;31;11;2;975;333.333.333.333.333;4;5;666.666.666.666.667
40;37;22;20;2;976;333.333.333.333.333;4;5;666.666.666.666.667
40;37;27;21;2;977;333.333.333.333.333;4;5;666.666.666.666.667
41;39;31;26;2;978;341.666.666.666.667;4.1;5.125;683.333.333.333.333
41;37;31;23;2;979;341.666.666.666.667;4.1;5.125;683.333.333.333.333
42;42;34;16;2;980;3.5;4.2;5.25;7
42;40;36;9;2;981;3.5;4.2;5.25;7
42;35;32;12;2;982;3.5;4.2;5.25;7
42;21;25;13;2;983;3.5;4.2;5.25;7
43;42;26;18;2;984;358.333.333.333.333;4.3;5.375;716.666.666.666.667
43;41;27;14;2;985;358.333.333.333.333;4.3;5.375;716.666.666.666.667
43;40;31;11;2;986;358.333.333.333.333;4.3;5.375;716.666.666.666.667
43;30;19;18;2;987;358.333.333.333.333;4.3;5.375;716.666.666.666.667
44;43;34;20;2;988;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;39;39;17;2;989;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;39;33;16;2;990;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;37;27;20;2;991;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;36;23;11;2;992;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;36;31;12;2;993;366.666.666.666.667;4.4;5.5;733.333.333.333.333
44;29;25;17;2;994;366.666.666.666.667;4.4;5.5;733.333.333.333.333
45;45;32;28;2;995;3.75;4.5;5.625;7.5
45;43;38;27;2;996;3.75;4.5;5.625;7.5
45;42;36;15;2;997;3.75;4.5;5.625;7.5
46;40;23;19;2;998;383.333.333.333.333;4.6;5.75;766.666.666.666.667
46;39;27;14;2;999;383.333.333.333.333;4.6;5.75;766.666.666.666.667
46;38;27;18;2;1000;383.333.333.333.333;4.6;5.75;766.666.666.666.667
46;37;30;20;2;1001;383.333.333.333.333;4.6;5.75;766.666.666.666.667
47;40;24;20;2;1002;391.666.666.666.667;4.7;5.875;783.333.333.333.333
47;40;31;14;2;1003;391.666.666.666.667;4.7;5.875;783.333.333.333.333
47;39;37;14;2;1004;391.666.666.666.667;4.7;5.875;783.333.333.333.333
47;36;24;12;2;1005;391.666.666.666.667;4.7;5.875;783.333.333.333.333
48;41;33;18;2;1006;4;4.8;6;8
48;37;22;18;2;1007;4;4.8;6;8
48;36;33;22;2;1008;4;4.8;6;8
49;45;39;29;2;1009;408.333.333.333.333;4.9;6.125;816.666.666.666.667
50;50;37;27;2;1010;416.666.666.666.667;5;6.25;833.333.333.333.333
50;42;40;23;2;1011;416.666.666.666.667;5;6.25;833.333.333.333.333
