"","trial_index","time_elapsed","experiment_order","rt","experiment","phase","stimulus","talk_out_loud","strategy_free_ans","word_1","word_2","word_3","word_4","word_5","original_word_set","response_1","response_2","response_3","response_4","response_5","VerbalScored","VisualScored","high_low_verbal","worker_id","score","score_any_position","trial_no_ptcp"
"1",11,662353,"phon_sim-task_switching-rhyme-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">row</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1></div>","No","no_answer","row","board","plea","sleigh","friend","ctrlSet","row","board","plea","sleigh","friend",1.75,1.6,"low_verbal","0CxunTLR",5,5,1
"2",11,1050039,"phon_sim-task_switching-rhyme-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">dough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1></div>","Yes","I used some code like first letter","dough","through","bough","rough","cough","orthoSet","thought","through","bough","rough","cough",2.42,3.8,"low_verbal","0EwA9ugv",4,4,1
"3",11,193749,"phon_sim-rhyme-task_switching-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">sort</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">taut</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1></div>","No","no","sort","wart","caught","taut","bought","phonSet","sort","wart","caught","taut","bought",4.166667,4.2,"high_verbal","26Z3U4Qu",5,5,1
"4",11,198032,"phon_sim-task_switching-same_different-rhyme","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","No","I memorized the first the words while trying to imagine the last 2 words as images","cough","dough","bough","through","rough","orthoSet","cough","dough","bough","through","nough",4.5,4.1,"high_verbal","79p4hVcb",4,4,1
"5",11,136869,"phon_sim-task_switching-rhyme-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">friend</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1></div>","Yes","find relationship between the words","friend","plea","board","row","sleigh","ctrlSet","friend","plea","board","row","sleigh",4.66666666666667,3.3,"high_verbal","7eDZS0g9",5,5,1
"6",11,130124,"phon_sim-task_switching-rhyme-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">cough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">bough</h1></div>","No","Remembering the first letter of each word","cough","through","dough","rough","bough","orthoSet","cough","through","dough","rough","bough",2.83333333333333,3.2,"low_verbal","8Mnv01S8",5,5,1
"7",11,95798,"phon_sim-same_different-task_switching-rhyme","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">taut</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">bought</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">wart</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">caught</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">sort</h1></div>","No","I would repeat the words in my mind to remember.","taut","bought","wart","caught","sort","phonSet","taut","bough","wart","sort","got",5,4.1,"high_verbal","AvRdAeDp",2,3,1
"8",11,369243,"phon_sim-same_different-task_switching-rhyme","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">board</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">plea</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1></div>","Yes","no_answer","board","row","sleigh","plea","friend","ctrlSet","board","row","sleigh","play","friend",4.67,4.2,"high_verbal","bj3SfFHq",4,4,1
"9",11,135743,"phon_sim-task_switching-rhyme-same_different","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">plea</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">sleigh</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">row</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">friend</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">board</h1></div>","Yes","It was easier than noramll because the words stayed the same just in different order.","plea","sleigh","row","friend","board","ctrlSet","plea","sleigh","row","friend","board",1,4,"low_verbal","CPt18YMj",5,5,1
"10",11,135685,"phon_sim-same_different-task_switching-rhyme","null","phon_sim","experiment","<div style=""display:grid""><h1 id=""word_1"" style=""grid-column:1; grid-row:1"">bough</h1><h1 id=""word_2"" style=""visibility:hidden;grid-column:1; grid-row:1"">dough</h1><h1 id=""word_3"" style=""visibility:hidden;grid-column:1; grid-row:1"">cough</h1><h1 id=""word_4"" style=""visibility:hidden;grid-column:1; grid-row:1"">through</h1><h1 id=""word_5"" style=""visibility:hidden;grid-column:1; grid-row:1"">rough</h1></div>","Yes","If all the words in the group ended in -ough, I just repeated the beginning letters to myself and didn't focus on the whole word.","bough","dough","cough","through","rough","orthoSet","bough","cough","dough","through","rough",3.17,4.1,"low_verbal","Ezm1v61p",3,5,1
