"","image","name_agreement_target"
"1","visual/bag.png",0.95
"2","visual/bear.png",0.95
"3","visual/bed.png",0.95
"4","visual/beer.png",0.75
"5","visual/bell.png",0.9
"6","visual/bin.png",0.1
"7","visual/bone.png",0.95
"8","visual/boot.png",0.95
"9","visual/box.png",0.95
"10","visual/brain.png",0.95
"11","visual/bread.png",0.9
"12","visual/cab.png",0.05
"13","visual/cake.png",0.05
"14","visual/cat.png",0.9
"15","visual/cave.png",0.55
"16","visual/chain.png",0.95
"17","visual/chair.png",0.95
"18","visual/chess.png",0.25
"19","visual/chin.png",0.8
"20","visual/claw.png",0.55
"21","visual/clock.png",0.95
"22","visual/cone.png",0.7
"23","visual/crab.png",0.95
"24","visual/crane.png",0.7
"25","visual/dart.png",0.9
"26","visual/deer.png",0.65
"27","visual/dog.png",0.95
"28","visual/door.png",0.95
"29","visual/drawer.png",0.8
"30","visual/dress.png",0.85
"31","visual/drum.png",1
"32","visual/egg.png",0.95
"33","visual/eye.png",0.95
"34","visual/fan.png",0.75
"35","visual/flag.png",0.9
"36","visual/fly.png",0.95
"37","visual/fox.png",0.85
"38","visual/hair.png",0.9
"39","visual/hat.png",1
"40","visual/heart.png",0.9
"41","visual/house.png",0.95
"42","visual/jar.png",0.95
"43","visual/key.png",0.95
"44","visual/king.png",0.8
"45","visual/lab.png",0.7
"46","visual/leg.png",0.85
"47","visual/man.png",0.8
"48","visual/moon.png",0.95
"49","visual/mouse.png",0.85
"50","visual/nail.png",0.95
"51","visual/nose.png",1
"52","visual/park.png",0.7
"53","visual/pear.png",0.95
"54","visual/plane.png",0.35
"55","visual/pope.png",0.45
"56","visual/rake.png",1
"57","visual/ring.png",0.9
"58","visual/rope.png",1
"59","visual/rose.png",0.95
"60","visual/saw.png",1
"61","visual/screw.png",1
"62","visual/seal.png",0.75
"63","visual/shark.png",0.75
"64","visual/shell.png",0.15
"65","visual/shoe.png",0.85
"66","visual/snail.png",0.95
"67","visual/soap.png",0.8
"68","visual/sock.png",0.9
"69","visual/socks.png",0.9
"70","visual/spoon.png",1
"71","visual/square_rhyme.png",0.85
"72","visual/star.png",0.95
"73","visual/suit.png",0.95
"74","visual/thumb.png",0.9
"75","visual/tie.png",0.7
"76","visual/train.png",0.95
"77","visual/tree.png",0.85
"78","visual/triangle.png",1
"79","visual/wave.png",0.85
"80","visual/well.png",0.95
"81","visual/whale.png",0.95
"82","visual/wheel.png",0.75
