"","worker_id","dyslexia","gender","first_lang","age","education_level","rehearse_question","conversation_focus","earworms","convo_memory_friend","convo_memory_self","hearing_conversation","sing_along","sing_along_thinking","other_voice_quality","express_inner_states","thinking_in_ideas","stress_IS","narrative_IS","revise_convo","rehearse_convo","exp_type_nodding_off","VerbalScored","VisualScored","high_low_verbal","visq_cond_1","visq_dial_1","visq_other_voi_1","visq_other_voi_2","visq_other_voi_3","visq_dial_2","visq_cond_2_rev","visq_cond_3","visq_eval_1","visq_dial_3","visq_eval_2","visq_other_voi_4","visq_dial_4","visq_cond_4","visq_cond_5_rev","visq_other_voi_5","visq_eval_3","visq_eval_4","others_experiences_1","others_experiences_4","others_experiences_5"
"1","05Wo9IGy","No, never","Female","Yes",61,"Associate's degree","I rehearse in my mind some of what I am going to ask before asking it","Rarely","A few times a week","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Neutral","I hear what they say in their voice.","Disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","Primarily about sensory awareness (what you are hearing, smelling, and feeling in the moment)",2.25,3.7,"low_verbal","Click to write Scale point 10","Somewhat disagree","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 9",78,80,78
"2","0CxunTLR","No, never","Female","Yes",60,"PhD, law, or medical degree","I'm never in a position to ask questions in front of an audience","Never","A few times a year","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Neutral","I hear what they say in their voice.","Strongly disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Never","Never","My inner experience in that situation doesn't have a specific ""format""",1.75,1.6,"low_verbal","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10",61,59,50
"3","0EwA9ugv","No, never","Female","Yes",40,"Bachelor's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","Multiple times a day","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Mostly similar to regular thinking","I hear what they say in their voice.","Disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Rarely","Often","An even mix of verbal, visual, sensory, and emotional",2.42,3.8,"low_verbal","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 10",27,52,50
"4","0X9nY8Ym","No, never","Female","Yes",41,"Associate's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","A few times a year","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly different from regular thinking","I hear what they say but in my own voice.","Disagree","More like a conversation","Maybe a little","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","Primarily about sensory awareness (what you are hearing, smelling, and feeling in the moment)",2.58,3.8,"low_verbal","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 9",60,41,22
"5","1hM1LUCj","No, never","Male","No",18,"Some college, no degree","I rehearse in my mind some of what I am going to ask before asking it","Rarely","A few times a week","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Neutral","I hear what they say in their voice.","Disagree","More like a conversation","Maybe a little","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",2.83333333333333,3.1,"low_verbal","Somewhat disagree","Click to write Scale point 10","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree",60,49,82
"6","26Z3U4Qu","No, never","Male","Yes",55,"Bachelor's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","A few times a month","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - somewhat","Exactly like regular thinking","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Sometimes","Sometimes","An even mix of verbal, visual, sensory, and emotional",4.16666667,4.2,"high_verbal","Click to write Scale point 9","Click to write Scale point 10","Somewhat disagree","Somewhat disagree","Click to write Scale point 9","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree",33,48,72
"7","2dXRa5Zq","No, never","Male","Yes",18,"High school diploma","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","Multiple times a day","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic, but remember only a few of the specific words/sentences.","I can't hear it, but I can still recall it. Please briefly say something about how you are recalling it:","Yes - definitely","Mostly different from regular thinking","I hear what they say but in my own voice.","Agree","More like ""thinking in ideas"". Can you elaborate or give an example of what this means to you?","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Never","Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",3.08333333333333,3.3,"low_verbal","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 9","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 9","Click to write Scale point 6","Click to write Scale point 9",81,51,73
"8","2Ie4vXKm","No, never","Female","Yes",47,"Bachelor's degree","I rehearse in my mind the exact phrasing of what I am going to ask","Sometimes","A few times a week","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","It's just like I'm hearing the conversation again.","Yes - definitely","Exactly like regular thinking","I hear what they say in their voice.","Strongly disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Often","An even mix of verbal, visual, sensory, and emotional",4.67,4.4,"high_verbal","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 9","Somewhat disagree","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 8","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6",61,65,76
"9","3DHBLnqj","No, never","Female","Yes",70,"High school diploma","I rehearse in my mind the exact phrasing of what I am going to ask","Rarely","Multiple times a day","I remember the topic, but remember only a few of the specific words/sentences.","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I hear a condensed version (e.g. only some words).","Yes - definitely","Mostly similar to regular thinking","I hear what they say in their voice.","Agree","More like a conversation","Maybe a little","It's just for the viewer/reader's benefit","Rarely","Rarely","Primarily visual (you ""see"" situations, objects, people etc. in your mind)",1.83,1.4,"low_verbal","Click to write Scale point 10","Somewhat disagree","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Click to write Scale point 10","Click to write Scale point 9","Click to write Scale point 10","Somewhat disagree",99,100,100
"10","3HwZ3aSO","No, never","Male","Yes",43,"Master's degree","I rehearse in my mind some of what I am going to ask before asking it","Sometimes","A few times a week","I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.","I remember the topic, but remember only a few of the specific words/sentences.","I hear a condensed version (e.g. only some words).","No - I can't imagine how anyone could do this","Neutral","I hear what they say in their voice.","Neither agree not disagree","More like a conversation","No, I don't think so","It might be like real life but mostly for the viewer's/reader's benefit","Very often","Often","An even mix of verbal, visual, sensory, and emotional",4.92,4.8,"high_verbal","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 6","Click to write Scale point 10","Somewhat disagree","Click to write Scale point 6","Click to write Scale point 10","Click to write Scale point 10",83,89,88
