Duration (in seconds),Q66_1,catch1,catch2,rehearse_question,rehearse_question_2_TEXT,conversation_focus,earworms,convo_memory_friend,convo_memory_friend_1_TEXT,convo_memory_self,convo_memory_self_1_TEXT,hearing_conversation,hearing_conversation_1_TEXT,sing_along,sing_along_thinking,other_voice_quality,other_voice_quality_1_TEXT,thinking_in_ideas,thinking_in_ideas_1_TEXT,express_inner_states,stress_IS,narrative_IS,dyslexia,revise_convo,rehearse_convo,exp_type_nodding_off,impulsiveness_1,impulsiveness_2,impulsiveness_3,others_experiences_1,others_experiences_4,others_experiences_5,others_experiences_DO_1,others_experiences_DO_4,others_experiences_DO_5,Q63_95,Q63_96,Q63_97,Q63_98,Q63_100,Q63_101,Q63_102,Q63_103,Q63_105,Q63_106,Q63_108,Q63_109,Q63_111,Q63_112,Q63_115,Factor2_1...68,Q63_116,Q63_117,catch3,VSIQ_DO_Q63_95,VSIQ_DO_Q63_96,VSIQ_DO_Q63_97,VSIQ_DO_Q63_98,VSIQ_DO_Q63_100,VSIQ_DO_Q63_101,VSIQ_DO_Q63_102,VSIQ_DO_Q63_103,VSIQ_DO_Q63_105,VSIQ_DO_Q63_106,VSIQ_DO_Q63_108,VSIQ_DO_Q63_109,VSIQ_DO_Q63_111,VSIQ_DO_Q63_112,VSIQ_DO_Q63_115,VSIQ_DO_Factor2_1,VSIQ_DO_Q63_116,VSIQ_DO_Q63_117,VSIQ_DO_catch3,Q319,Q320,Q321,Q323,education_level,Q325,Q326,comments,source,code,InnerSpeechQuestions_DO_conversation_focus,InnerSpeechQuestions_DO_impulsiveness_1,InnerSpeechQuestions_DO_convo_memory_self,InnerSpeechQuestions_DO_narrative_IS,InnerSpeechQuestions_DO_dyslexia,InnerSpeechQuestions_DO_sing_along_thinking,InnerSpeechQuestions_DO_revise_convo,InnerSpeechQuestions_DO_rehearse_convo,InnerSpeechQuestions_DO_express_inner_states,InnerSpeechQuestions_DO_impulsiveness_3,InnerSpeechQuestions_DO_exp_type_nodding_off,InnerSpeechQuestions_DO_stress_IS,InnerSpeechQuestions_DO_catch2,InnerSpeechQuestions_DO_sing_along,InnerSpeechQuestions_DO_rehearse_question,InnerSpeechQuestions_DO_other_voice_quality,InnerSpeechQuestions_DO_thinking_in_ideas,InnerSpeechQuestions_DO_impulsiveness_2,InnerSpeechQuestions_DO_earworms,InnerSpeechQuestions_DO_convo_memory_friend,InnerSpeechQuestions_DO_catch1,InnerSpeechQuestions_DO_hearing_conversation,worker_id
346,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind some of what I am going to ask before asking it,-999,Often,Multiple times a day,"I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match",-999,"I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match",-999,I hear a condensed version (e.g. only some words).,-999,Yes - definitely,Exactly like regular thinking,I hear what they say in their voice.,-999,More like a conversation,-999,Strongly agree,"Yes, very",It's just for the viewer/reader's benefit,"Yes, self-diagnosed",Very often,Often,"Primarily about sensory awareness (what you are hearing, smelling, and feeling in the moment)",Disagree,Strongly agree,Disagree,80,100,100,1,2,3,Somewhat disagree,Click to write Scale point 10,Click to write Scale point 8,Click to write Scale point 8,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 8,Click to write Scale point 6,Somewhat disagree,Somewhat disagree,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,10,8,7,9,2,6,17,19,1,4,13,12,5,3,18,16,14,11,15,Male,Yes,-999,19,High school diploma,NA,Student,-999,sona,lFvPbxgrTriNQouvgdVO,3,19,5,21,14,8,2,1,17,20,15,12,16,7,10,9,13,18,22,4,11,6,IMlP20yi
910,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind some of what I am going to ask before asking it,-999,Rarely,A few times a week,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.",-999,I hear a condensed version (e.g. only some words).,-999,Yes - definitely,Mostly similar to regular thinking,I hear what they say in their voice.,-999,More like a conversation,-999,Disagree,"No, I don't think so",It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Very often,Very often,"Primarily visual (you ""see"" situations, objects, people etc. in your mind)",Disagree,Strongly agree,Neither agree nor disagree,91,100,100,1,2,3,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 8,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 6,Somewhat disagree,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 9,Somewhat disagree,Click to write Scale point 6,16,18,12,19,6,17,3,13,14,1,15,2,5,9,4,11,7,10,8,Male,Yes,-999,18,High school diploma,NA,Full time Student,-999,sona,xEHmaZnrTrkVRzDlMtIS,11,20,5,14,12,8,10,16,13,19,2,22,17,7,1,9,21,18,3,4,15,6,XTcCmXvP
1394,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind some of what I am going to ask before asking it,-999,Rarely,A few times a month,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic, but remember only a few of the specific words/sentences.",-999,I hear a condensed version (e.g. only some words).,-999,Yes - definitely,Mostly different from regular thinking,I hear what they say in their voice.,-999,More like a conversation,-999,Disagree,Maybe a little,It's just for the viewer/reader's benefit,"No, never",Sometimes,Rarely,"Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",Agree,Neither agree nor disagree,Neither agree nor disagree,36,31,72,1,2,3,Somewhat disagree,Click to write Scale point 9,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 6,19,12,7,3,9,13,2,4,14,17,16,18,6,1,15,11,5,8,10,Male,Yes,-999,18,High school diploma,NA,Student,-999,sona,wngDjklrTraKzBWHZlKj,3,19,5,21,14,8,22,12,16,20,1,15,2,7,11,9,10,18,13,4,17,6,xa4C6HC1
557,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind the exact phrasing of what I am going to ask,-999,Rarely,A few times a week,"I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match",-999,"I can easily recall it. If I wrote it down and matched to a recording of the conversation, there'd be an almost perfect match",-999,It's just like I'm hearing the conversation again.,-999,Yes - definitely,Mostly different from regular thinking,I hear what they say in their voice.,-999,More like a conversation,-999,Agree,Maybe a little,It's exactly like real life,"No, never",Very often,Very often,"An even mix of verbal, visual, sensory, and emotional",Agree,Strongly agree,Strongly disagree,92,92,93,1,2,3,Somewhat disagree,Click to write Scale point 9,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 9,Somewhat disagree,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,10,2,6,14,5,15,11,16,9,8,18,13,19,4,1,7,12,17,3,Female,Yes,N/A,19,"Some college, no degree",NA,Student,-999,sona,pnzGqiBrTrxjjBEKBoZF,15,18,5,1,14,8,11,22,17,20,21,16,10,7,3,9,12,19,2,4,13,6,4FubSY7J
296,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind some of what I am going to ask before asking it,-999,Never,A few times a month,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.",-999,I hear something but I can't describe it.,-999,Yes - somewhat,Mostly similar to regular thinking,I hear what they say but in my own voice.,-999,More like a conversation,-999,Neither agree not disagree,"No, I don't think so",It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Often,Rarely,"Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",Agree,Strongly agree,Neither agree nor disagree,59,49,30,1,2,3,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 9,Somewhat disagree,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,9,3,18,7,4,13,15,14,8,19,10,1,12,6,17,5,16,11,2,Male,Yes,-999,18,High school diploma,NA,Student,-999,sona,YEKhqhTrTrrsIDZNZdPo,2,19,5,15,1,8,10,14,22,18,13,3,11,7,16,9,17,20,12,4,21,6,ycrZF9Ui
516,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind the exact phrasing of what I am going to ask,-999,Rarely,A few times a month,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic, but remember only a few of the specific words/sentences.",-999,I hear a condensed version (e.g. only some words).,-999,Yes - somewhat,Mostly different from regular thinking,I hear what they say but in my own voice.,-999,"More like ""thinking in ideas"". Can you elaborate or give an example of what this means to you?",I list the pros and cons and would could happen. I don't hear a voice talking through it in my head.,Disagree,Maybe a little,It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Often,Often,"Primarily visual (you ""see"" situations, objects, people etc. in your mind)",Disagree,Agree,Disagree,30,60,70,1,2,3,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 6,19,18,10,8,6,14,5,4,16,11,2,1,9,17,12,3,7,15,13,Female,Yes,-999,18,High school diploma,NA,Currently unemployed,-999,sona,qRTRAbRrTrHrymvqSDgU,2,19,5,1,10,8,17,21,11,20,15,3,12,7,14,9,13,18,22,4,16,6,OwZfp5qv
513,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind some of what I am going to ask before asking it,-999,Rarely,A few times a week,"I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.",-999,"I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.",-999,I hear a condensed version (e.g. only some words).,-999,Yes - somewhat,Neutral,I hear what they say in their voice.,-999,More like a conversation,-999,Disagree,Maybe a little,It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Sometimes,Sometimes,"Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",Disagree,Agree,Neither agree nor disagree,60,49,82,1,2,3,Somewhat disagree,Click to write Scale point 10,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Click to write Scale point 10,Click to write Scale point 10,Click to write Scale point 10,Somewhat disagree,Click to write Scale point 6,11,7,18,19,10,16,4,13,15,2,3,14,8,5,12,1,17,9,6,Male,No,Gujarati and Hindi,18,"Some college, no degree",NA,student,-999,sona,ZfgzpNNrTrBKoDpTJocT,1,19,5,3,22,8,2,16,11,18,13,14,21,7,12,9,17,20,10,4,15,6,1hM1LUCj
427,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind the exact phrasing of what I am going to ask,-999,Often,A few times a week,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic and remember much of what was said. If I matched it to a recording of the conversation, a lot would match up.",-999,It's just like I'm hearing the conversation again.,-999,Yes - somewhat,Neutral,I hear what they say in their voice.,-999,More like a conversation,-999,Strongly disagree,Maybe a little,It's exactly like real life,"No, never",Very often,Very often,"Primarily visual (you ""see"" situations, objects, people etc. in your mind)",Strongly agree,Strongly agree,Strongly agree,81,93,91,1,2,3,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 10,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,2,11,15,9,16,10,8,6,13,5,12,14,7,3,17,1,19,18,4,Female,Yes,-999,18,High school diploma,NA,student,-999,sona,pwkmHIsrTrwKUAGhcULQ,14,20,5,3,16,8,1,2,21,19,10,12,15,7,17,9,11,18,13,4,22,6,IbadRTNw
467,Got it. I promise to read the questions carefully.,TRUE,Three,I rehearse in my mind the exact phrasing of what I am going to ask,-999,Rarely,A few times a week,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic, but remember only a few of the specific words/sentences.",-999,It's just like I'm hearing the conversation again.,-999,No - but I can imagine how others can do it,Mostly different from regular thinking,I hear what they say in their voice.,-999,More like a conversation,-999,Strongly disagree,"No, I don't think so",It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Very often,Often,"Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",Disagree,Strongly agree,Disagree,40,92,100,1,2,3,Click to write Scale point 8,Click to write Scale point 6,Somewhat disagree,Somewhat disagree,Click to write Scale point 9,Click to write Scale point 8,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,Somewhat disagree,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 6,Click to write Scale point 9,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 6,9,5,10,1,19,8,17,18,13,15,4,14,12,6,16,3,11,2,7,Female,Yes,-999,18,Associate's degree,it was an associates of the arts degrees (like general classes),full time student,-999,sona,HdyOjsYrTronewumyoHh,12,18,5,11,21,8,14,22,16,19,13,3,10,7,17,9,15,20,1,4,2,6,xnNpmgQR
3427,Got it. I promise to read the questions carefully.,TRUE,Three,I think of a question I want to ask and just ask it,-999,Never,A few times a month,"I remember the topic, but remember only a few of the specific words/sentences.",-999,"I remember the topic, but remember only a few of the specific words/sentences.",-999,I hear something but I can't describe it.,-999,Yes - definitely,Mostly similar to regular thinking,I hear what they say but in my own voice.,-999,More like a conversation,-999,Agree,"Yes, very",It might be like real life but mostly for the viewer's/reader's benefit,"No, never",Rarely,Rarely,"Primarily verbal (you ""hear"" or ""speak"" words and sentences in your mind)",Agree,Agree,Disagree,60,28,96,1,2,3,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 9,Click to write Scale point 9,Click to write Scale point 6,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 10,Click to write Scale point 9,Click to write Scale point 10,Click to write Scale point 8,Click to write Scale point 9,Click to write Scale point 8,Click to write Scale point 6,Click to write Scale point 8,Click to write Scale point 10,Somewhat disagree,Click to write Scale point 6,3,4,14,8,17,2,6,16,12,1,7,10,9,19,5,18,15,13,11,Female,Yes,-999,18,High school diploma,NA,Student,-999,sona,eYwGeUkrTruTqhDSEYEJ,15,20,5,17,2,8,11,21,16,18,14,22,10,7,1,9,12,19,13,4,3,6,mqvAJ91n
