"","worker_id","VerbalScored","VisualScored","high_low_verbal"
"1","A1O4Q0QVPVBF8M",5,4.4,"high_verbal"
"2","AKR9067Q09RZS",5,4.8,"high_verbal"
"3","AFFXVHHBUWW4D",5,5,"high_verbal"
"4","ASXSWSXQNVN42",5,1.1,"high_verbal"
"5","A24FAL69IKL8RA",5,4.7,"high_verbal"
"6","A2MOKIEQZ0OF2M",4.92,5,"high_verbal"
"7","A2INXY39KBM92F",4.92,4.7,"high_verbal"
"8","A3SS0C4IVTSIFL",4.92,4.8,"high_verbal"
"9","A2PWUACCQI97J8",4.92,4.8,"high_verbal"
"10","ATU582WJWMEL2",4.83,3.6,"high_verbal"
"11","AU34T9OMHN4Z4",4.83,4.2,"high_verbal"
"12","A304UJAE051J89",4.75,5,"high_verbal"
"13","A89HSG51VTPP0",4.75,4.8,"high_verbal"
"14","A26UIS59SY4NM6",4.75,4.5,"high_verbal"
"15","A1M64R8HPYNNZA",4.75,4.4,"high_verbal"
"16","A15XIKX3PI7SLK",4.75,3.6,"high_verbal"
"17","A2WJMGV0HKQG3Z",4.67,4.7,"high_verbal"
"18","A3MXI2O3JZ0TZH",4.67,5,"high_verbal"
"19","A2WDF40FA670T9",4.67,4.6,"high_verbal"
"20","AD1FDB9A61LMS",4.67,4,"high_verbal"
"21","A2VIKCIM9TZL22",5,2.9,"high_verbal"
"22","A1RKGN3VY39TM1",4.92,1.6,"high_verbal"
"23","A1CB72B51L7TKE",4.67,4.3,"high_verbal"
"24","A337X6ZE9WIIU7",4.67,2.9,"high_verbal"
"25","A1F9KLZGHE9DTA",5,4,"high_verbal"
"26","A1LRJ4U04532TM",4.83,4.2,"high_verbal"
"27","A1JJYY622DGE5L",4.67,4.4,"high_verbal"
"28","A2PUL3ZDXOW0VZ",4.67,4.2,"high_verbal"
"29","AROOCBM042SJD",4.67,4,"high_verbal"
"30","A3I40B0FATY8VH",4.75,4.5,"high_verbal"
"31","ARRDHASPCGP4L",4.92,4.4,"high_verbal"
"32","A38OPVI04AH4JG",4.16666667,4.2,"high_verbal"
"33","A3T01NM4993LZE",4.16666667,3.8,"high_verbal"
"34","AXPZAP62ZYWP8",4.16666667,4.1,"high_verbal"
"35","A38ZV8LBZ034IZ",4.16666667,3.4,"high_verbal"
"36","AB09F0Q4T10TE",4.25,3.7,"high_verbal"
"37","AMELYCC59JKB0",4.25,4.1,"high_verbal"
"38","AN4P0SU1YSPF2",4.33333333,4,"high_verbal"
"39","A34LSCB90T5KYE",4.33333333,3.4,"high_verbal"
"40","AIA7RZSAONU5M",4.41666667,4.2,"high_verbal"
"41","A19X8IA9EKC3XH",4.5,4.1,"high_verbal"
"42","A341XKSRZ58FJK",4.5,3.7,"high_verbal"
"43","AWAW665TQQP2F",4.66666667,4,"high_verbal"
"44","AT6OT5K5Z4V0J",4.66666667,4.1,"high_verbal"
"45","ARWF605I7RWM7",5,4.1,"high_verbal"
"46","A1F9KLZGHE9DTA",5,4,"high_verbal"
"47","A1JJYY622DGE5L",4.67,4.4,"high_verbal"
"48","A1LRJ4U04532TM",4.83,4.2,"high_verbal"
"49","A1WH32GYQOHIRQ",4.58,1.9,"high_verbal"
"50","A2PUL3ZDXOW0VZ",4.67,4.2,"high_verbal"
"51","AURYD2FH3FUOQ",1,1,"low_verbal"
"52","ADY44EV3GCW85",1,4,"low_verbal"
"53","AKVDK30EEV08C",1.08,2.4,"low_verbal"
"54","A15T9HDPHV3X7Q",1.33,1.9,"low_verbal"
"55","A4BDXOXC4D8FX",1.33,3.8,"low_verbal"
"56","A4BDXOXC4D8FX",1.33,3.8,"low_verbal"
"57","A26RO8GGTQAXGG",1.42,2.7,"low_verbal"
"58","A35CHBMYRAXDNZ",1.5,1.4,"low_verbal"
"59","A35CHBMYRAXDNZ",1.5,1.4,"low_verbal"
"60","AV22FQTJNBUZT",1.58,3.3,"low_verbal"
"61","AV22FQTJNBUZT",1.58,3.3,"low_verbal"
"62","A2H2LO1OOF8R5N",1.67,3.3,"low_verbal"
"63","A3FNC8ELMK8YJA",1.75,1.6,"low_verbal"
"64","A3F90N8YVKJ4I7",1.75,2.9,"low_verbal"
"65","AMNUNZ65OSTFO",1.75,3.9,"low_verbal"
"66","A2QTL039A5VV3I",1.83,1.3,"low_verbal"
"67","A2YB18JHC2C7GF",1.83,1.4,"low_verbal"
"68","A2QTL039A5VV3I",1.83,1.3,"low_verbal"
"69","A3KVKK1XLBTSN3",1.92,2.6,"low_verbal"
"70","A9LSEP71DNP4O",1.92,4.4,"low_verbal"
"71","A2T675UCHNTSSW",2,3.3,"low_verbal"
"72","A1ACXKVOUQ19DX",2,3.5,"low_verbal"
"73","A2T675UCHNTSSW",2,3.3,"low_verbal"
"74","A1ACXKVOUQ19DX",2,3.5,"low_verbal"
"75","A1BM57TUNAQIXM",2.17,3.6,"low_verbal"
"76","A8C3WNWRBWUXO",2.17,2.7,"low_verbal"
"77","A1UBV2NP7OVDVV",2.17,3.2,"low_verbal"
"78","A5P12YJP805RG",2.17,2.6,"low_verbal"
"79","A3N0QZ9ZKUCTCQ",2.17,2,"low_verbal"
"80","AJF954955YWZG",2.17,3.9,"low_verbal"
"81","A1UBV2NP7OVDVV",2.17,3.2,"low_verbal"
"82","A3N0QZ9ZKUCTCQ",2.17,2,"low_verbal"
"83","A1DUPOUC9RNU4L",2.25,3.7,"low_verbal"
"84","A2M183CETUMR96",2.25,1.8,"low_verbal"
"85","A3H7WFRISBGM1K",2.33,2.9,"low_verbal"
"86","A26BQ33MHKVYFB",2.33,2.5,"low_verbal"
"87","A2OVWCQ4B9AHFY",2.42,4.6,"low_verbal"
"88","A1P2RQ166VS5BT",2.42,3.5,"low_verbal"
"89","A37JC45Y9GLSA7",2.42,2.9,"low_verbal"
"90","A2R93OEJ9TOWV6",2.42,2.3,"low_verbal"
"91","A1KOBLL83SICGQ",2.42,3.8,"low_verbal"
"92","A2MMWPTR6X2PL6",2.5,3,"low_verbal"
"93","A1XKXYY27WP8EX",2.5,3.4,"low_verbal"
"94","A3JC9VPPTHNKVL",2.5,2.7,"low_verbal"
"95","A289D98Z4GAZ28",2.5,3,"low_verbal"
"96","A1Q56N80RJLQ7S",2.5,2.5,"low_verbal"
"97","A3PLWSCPFLCEGI",2.5,2.7,"low_verbal"
"98","A12HZGOZQD5YK7",2.58,3.8,"low_verbal"
"99","A2NAKIXS3DVGAA",2.58,2.9,"low_verbal"
"100","A22SPPYNJ5CDZT",2.58,2.3,"low_verbal"
"101","A2WX434EAQOE29",2.58,4.6,"low_verbal"
"102","A2OVOVZBJYUO",2.58,3.5,"low_verbal"
"103","A3DUPRZSMU9W5R",2.58,2.4,"low_verbal"
"104","A2615YW1YERQBO",2.58,3.7,"low_verbal"
"105","A1PUSSRD8P5HHH",2.67,3,"low_verbal"
"106","A3HNEYFOIJWPH1",2.67,3.1,"low_verbal"
"107","A6KB4VHCZYTY2",2.67,2.9,"low_verbal"
"108","AONESW9PHZCHO",2.67,2.9,"low_verbal"
"109","A1NMKXK04PZ6KK",2.67,4,"low_verbal"
"110","A5Q5LI20O3G60",2.67,3.2,"low_verbal"
"111","A2SKY4RRWII0BF",2.83,3.8,"low_verbal"
"112","A2683ZVNWI119A",2.83,3.2,"low_verbal"
"113","A2AAFWAAS9C1QC",3.17,4.1,"low_verbal"
"114","A10JXOU89D5RXR",3.25,4.4,"low_verbal"
"115","A1CFMY4CEYOM8Y",2.92,4.2,"low_verbal"
"116","A2SKY4RRWII0BF",2.83,3.8,"low_verbal"
"117","AJF954955YWZG",2.17,3.9,"low_verbal"
"118","AMNUNZ65OSTFO",1.75,3.9,"low_verbal"
"119","77763",3,3.8,"low_verbal"
"120","79437",3,3.8,"low_verbal"
"121","80050",2.83333333333333,3.2,"low_verbal"
"122","80016",4.66666666666667,4.3,"high_verbal"
"123","77837",4.58333333333333,3.5,"high_verbal"
"124","79914",4.91666666666667,3.3,"high_verbal"
"125","79580",3,3.5,"low_verbal"
"126","80446",2.91666666666667,3.3,"low_verbal"
"127","78422",4.75,3.9,"high_verbal"
"128","78471",4.83333333333333,3.2,"high_verbal"
"129","79058",4.58333333333333,4.1,"high_verbal"
"130","78938",4.66666666666667,4.3,"high_verbal"
"131","77815",4.83333333333333,4.6,"high_verbal"
"132","77866",2.91666666666667,3.2,"low_verbal"
"133","78053",4.75,3.9,"high_verbal"
"134","79188",3.08333333333333,3.2,"low_verbal"
"135","79171",2.75,2.8,"low_verbal"
"136","77609",2.75,3.4,"low_verbal"
"137","79390",4.66666666666667,3.3,"high_verbal"
"138","77593",4.75,4.4,"high_verbal"
"139","78304",4.83333333333333,4,"high_verbal"
"140","78391",3.08333333333333,3.9,"low_verbal"
"141","78010",2.83333333333333,3.1,"low_verbal"
"142","79178",3.08333333333333,3.3,"low_verbal"
"143","78315",2.66666666666667,3.1,"low_verbal"
"144","78478",3,4,"low_verbal"
"145","79548",5,3.3,"high_verbal"
"146","79167",2.83333333333333,3.2,"low_verbal"
"147","78099",4.75,4.5,"high_verbal"
"148","77543",4.58333333333333,3.8,"high_verbal"
"149","79970",4.58333333333333,3.8,"high_verbal"
"150","80623",2.91666666666667,3.8,"low_verbal"
