"","VerbalScored","VisualScored","high_low_verbal","worker_id"
"1",4.58333333333333,3.8,"high_verbal","IMlP20yi"
"2",4.75,4.4,"high_verbal","XTcCmXvP"
"3",2.75,3.4,"low_verbal",NA
"4",3,3.8,"low_verbal","xa4C6HC1"
"5",4.83333333333333,4.6,"high_verbal","4FubSY7J"
"6",4.58333333333333,3.5,"high_verbal","ycrZF9Ui"
"7",2.91666666666667,3.2,"low_verbal","OwZfp5qv"
"8",2.83333333333333,3.1,"low_verbal","1hM1LUCj"
"9",4.75,3.9,"high_verbal",NA
"10",4.75,4.5,"high_verbal","IbadRTNw"
"11",4.83333333333333,4,"high_verbal","xnNpmgQR"
"12",2.66666666666667,3.1,"low_verbal","mqvAJ91n"
"13",3.08333333333333,3.9,"low_verbal","NS1YHcvi"
"14",4.75,3.9,"high_verbal","BfCux7Qy"
"15",4.83333333333333,3.2,"high_verbal","yduNAfJN"
"16",3,4,"low_verbal","fbKqS6qy"
"17",4.66666666666667,4.3,"high_verbal","y1Ud0IvQ"
"18",4.58333333333333,4.1,"high_verbal",NA
"19",2.83333333333333,3.2,"low_verbal","hRiDYGB2"
"20",2.75,2.8,"low_verbal","8yyEgSuX"
"21",3.08333333333333,3.3,"low_verbal","2dXRa5Zq"
"22",3.08333333333333,3.2,"low_verbal","4KFmznfv"
"23",4.66666666666667,3.3,"high_verbal","7eDZS0g9"
"24",3,3.8,"low_verbal","gmTxt8dp"
"25",5,3.3,"high_verbal","Ki4GHif7"
"26",3,3.5,"low_verbal","qkCSFiGm"
"27",4.91666666666667,3.3,"high_verbal","Po8DLpvd"
"28",4.58333333333333,3.8,"high_verbal","U8Rxi9rz"
"29",4.66666666666667,4.3,"high_verbal","WewWn58j"
"30",2.83333333333333,3.2,"low_verbal","8Mnv01S8"
"31",2.91666666666667,3.3,"low_verbal","Ds5BnIYz"
"32",2.91666666666667,3.8,"low_verbal","ozMU0TCL"
"33",3.25,4.4,"low_verbal","e3BB2RMg"
"34",2.58,3.8,"low_verbal","0X9nY8Ym"
"35",1.33,1.9,"low_verbal","5WF1GwNy"
"36",4.75,3.6,"high_verbal",NA
"37",4.5,4.1,"high_verbal","79p4hVcb"
"38",2,3.5,"low_verbal",NA
"39",2,3.5,"low_verbal",NA
"40",2.17,3.6,"low_verbal",NA
"41",4.67,4.3,"high_verbal","gY67hxD2"
"42",2.92,4.2,"low_verbal","7rrmnKSW"
"43",2.25,3.7,"low_verbal","05Wo9IGy"
"44",5,4,"high_verbal","qFEgGDhX"
"45",5,4,"high_verbal","qFEgGDhX"
"46",4.67,4.4,"high_verbal","2Ie4vXKm"
"47",4.67,4.4,"high_verbal","2Ie4vXKm"
"48",2.42,3.8,"low_verbal","0EwA9ugv"
"49",4.83,4.2,"high_verbal","XxuTNyUr"
"50",4.83,4.2,"high_verbal","XxuTNyUr"
"51",4.75,4.4,"high_verbal","mHkNNA58"
"52",2.67,4,"low_verbal",NA
"53",5,4.4,"high_verbal",NA
"54",2.42,3.5,"low_verbal",NA
"55",2.67,3,"low_verbal","wDmKNbjb"
"56",2.5,2.5,"low_verbal",NA
"57",4.92,1.6,"high_verbal","IGrNgFbi"
"58",2.17,3.2,"low_verbal",NA
"59",2.17,3.2,"low_verbal",NA
"60",4.58,1.9,"high_verbal","hsk1bUWA"
"61",2.5,3.4,"low_verbal",NA
"62",2.58,2.3,"low_verbal",NA
"63",5,4.7,"high_verbal",NA
"64",2.58,3.7,"low_verbal","lAeE5wTL"
"65",2.83,3.2,"low_verbal",NA
"66",2.33,2.5,"low_verbal","TFWelN7f"
"67",1.42,2.7,"low_verbal","fX6rWWkd"
"68",4.75,4.5,"high_verbal","NRFUWLZO"
"69",2.5,3,"low_verbal","OE580Gi8"
"70",3.17,4.1,"low_verbal","Ezm1v61p"
