Duration (in seconds),Q66_1,catch1,catch2,rehearse_question,rehearse_question_2_TEXT,conversation_focus,earworms,convo_memory_friend,convo_memory_friend_1_TEXT,convo_memory_self,convo_memory_self_1_TEXT,hearing_conversation,hearing_conversation_1_TEXT,sing_along,sing_along_thinking,other_voice_quality,other_voice_quality_1_TEXT,thinking_in_ideas,thinking_in_ideas_1_TEXT,express_inner_states,stress_IS,narrative_IS,dyslexia,revise_convo,rehearse_convo,exp_type_nodding_off,impulsiveness_1,impulsiveness_2,impulsiveness_3,others_experiences_1,others_experiences_4,others_experiences_5,others_experiences_DO_1,others_experiences_DO_4,others_experiences_DO_5,Q63_95,Q63_96,Q63_97,Q63_98,Q63_100,Q63_101,Q63_102,Q63_103,Q63_105,Q63_106,Q63_108,Q63_109,Q63_111,Q63_112,Q63_115,Factor2_1...68,Q63_116,Q63_117,catch3,VSIQ_DO_Q63_95,VSIQ_DO_Q63_96,VSIQ_DO_Q63_97,VSIQ_DO_Q63_98,VSIQ_DO_Q63_100,VSIQ_DO_Q63_101,VSIQ_DO_Q63_102,VSIQ_DO_Q63_103,VSIQ_DO_Q63_105,VSIQ_DO_Q63_106,VSIQ_DO_Q63_108,VSIQ_DO_Q63_109,VSIQ_DO_Q63_111,VSIQ_DO_Q63_112,VSIQ_DO_Q63_115,VSIQ_DO_Factor2_1,VSIQ_DO_Q63_116,VSIQ_DO_Q63_117,VSIQ_DO_catch3,Q319,Q320,Q321,Q323,education_level,Q325,Q326,comments,source,code,InnerSpeechQuestions_DO_conversation_focus,InnerSpeechQuestions_DO_impulsiveness_1,InnerSpeechQuestions_DO_convo_memory_self,InnerSpeechQuestions_DO_narrative_IS,InnerSpeechQuestions_DO_dyslexia,InnerSpeechQuestions_DO_sing_along_thinking,InnerSpeechQuestions_DO_revise_convo,InnerSpeechQuestions_DO_rehearse_convo,InnerSpeechQuestions_DO_express_inner_states,InnerSpeechQuestions_DO_impulsiveness_3,InnerSpeechQuestions_DO_exp_type_nodding_off,InnerSpeechQuestions_DO_stress_IS,InnerSpeechQuestions_DO_catch2,InnerSpeechQuestions_DO_sing_along,InnerSpeechQuestions_DO_rehearse_question,InnerSpeechQuestions_DO_other_voice_quality,InnerSpeechQuestions_DO_thinking_in_ideas,InnerSpeechQuestions_DO_impulsiveness_2,InnerSpeechQuestions_DO_earworms,InnerSpeechQuestions_DO_convo_memory_friend,InnerSpeechQuestions_DO_catch1,InnerSpeechQuestions_DO_hearing_conversation,worker_id
346,1,1,1,4,-999,4,5,5,-999,5,-999,3,-999,4,5,4,-999,2,-999,1,3,1,2,5,4,3,2,5,2,80,100,100,1,2,3,3,4,1,1,5,5,4,4,5,5,4,1,5,3,3,5,5,5,5,10,8,7,9,2,6,17,19,1,4,13,12,5,3,18,16,14,11,15,1,1,-999,19,2,NA,Student,-999,sona,lFvPbxgrTriNQouvgdVO,3,19,5,21,14,8,2,1,17,20,15,12,16,7,10,9,13,18,22,4,11,6,IMlP20yi
910,1,1,1,4,-999,2,4,3,-999,4,-999,3,-999,4,4,4,-999,2,-999,4,1,2,3,5,5,2,2,5,3,91,100,100,1,2,3,1,4,1,2,2,4,5,1,4,5,3,4,5,1,4,4,2,3,5,16,18,12,19,6,17,3,13,14,1,15,2,5,9,4,11,7,10,8,1,1,-999,18,2,NA,Full time Student,-999,sona,xEHmaZnrTrkVRzDlMtIS,11,20,5,14,12,8,10,16,13,19,2,22,17,7,1,9,21,18,3,4,15,6,XTcCmXvP
1394,1,1,1,4,-999,2,3,3,-999,3,-999,3,-999,4,2,4,-999,2,-999,4,2,1,3,3,2,1,4,3,3,36,31,72,1,2,3,3,2,1,4,2,4,2,4,4,4,4,2,2,4,2,2,2,4,5,19,12,7,3,9,13,2,4,14,17,16,18,6,1,15,11,5,8,10,1,1,-999,18,2,NA,Student,-999,sona,wngDjklrTraKzBWHZlKj,3,19,5,21,14,8,22,12,16,20,1,15,2,7,11,9,10,18,13,4,17,6,xa4C6HC1
557,1,1,1,5,-999,2,4,5,-999,5,-999,4,-999,4,2,4,-999,2,-999,2,2,3,3,5,5,5,4,5,1,92,92,93,1,2,3,3,2,1,4,2,3,4,4,5,4,4,2,4,4,4,5,5,4,5,10,2,6,14,5,15,11,16,9,8,18,13,19,4,1,7,12,17,3,2,1,N/A,19,3,NA,Student,-999,sona,pnzGqiBrTrxjjBEKBoZF,15,18,5,1,14,8,11,22,17,20,21,16,10,7,3,9,12,19,2,4,13,6,4FubSY7J
296,1,1,1,4,-999,1,3,3,-999,4,-999,2,-999,3,4,3,-999,2,-999,3,1,2,3,4,2,1,4,5,3,59,49,30,1,2,3,5,4,2,2,2,3,4,5,5,5,4,4,5,4,2,2,5,4,5,9,3,18,7,4,13,15,14,8,19,10,1,12,6,17,5,16,11,2,1,1,-999,18,2,NA,Student,-999,sona,YEKhqhTrTrrsIDZNZdPo,2,19,5,15,1,8,10,14,22,18,13,3,11,7,16,9,17,20,12,4,21,6,ycrZF9Ui
516,1,1,1,5,-999,2,3,3,-999,3,-999,3,-999,3,2,3,-999,1,I list the pros and cons and would could happen. I don't hear a voice talking through it in my head.,4,2,2,3,4,4,2,2,4,2,30,60,70,1,2,3,5,4,2,2,2,2,4,5,5,2,2,1,4,4,2,2,4,4,5,19,18,10,8,6,14,5,4,16,11,2,1,9,17,12,3,7,15,13,2,1,-999,18,2,NA,Currently unemployed,-999,sona,qRTRAbRrTrHrymvqSDgU,2,19,5,1,10,8,17,21,11,20,15,3,12,7,14,9,13,18,22,4,16,6,OwZfp5qv
513,1,1,1,4,-999,2,4,4,-999,4,-999,3,-999,3,3,4,-999,2,-999,4,2,2,3,3,3,1,2,4,3,60,49,82,1,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,5,11,7,18,19,10,16,4,13,15,2,3,14,8,5,12,1,17,9,6,1,0,Gujarati and Hindi,18,3,NA,student,-999,sona,ZfgzpNNrTrBKoDpTJocT,1,19,5,3,22,8,2,16,11,18,13,14,21,7,12,9,17,20,10,4,15,6,1hM1LUCj
427,1,1,1,5,-999,4,4,3,-999,4,-999,4,-999,3,3,4,-999,2,-999,5,2,3,3,5,5,2,5,5,5,81,93,91,1,2,3,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,2,11,15,9,16,10,8,6,13,5,12,14,7,3,17,1,19,18,4,2,1,-999,18,2,NA,student,-999,sona,pwkmHIsrTrwKUAGhcULQ,14,20,5,3,16,8,1,2,21,19,10,12,15,7,17,9,11,18,13,4,22,6,IbadRTNw
467,1,1,1,5,-999,2,4,3,-999,3,-999,4,-999,2,2,4,-999,2,-999,5,1,2,3,5,4,1,2,5,2,40,92,100,1,2,3,1,5,3,3,2,1,5,1,5,5,5,3,5,1,5,2,5,5,5,9,5,10,1,19,8,17,18,13,15,4,14,12,6,16,3,11,2,7,2,1,-999,18,4,it was an associates of the arts degrees (like general classes),full time student,-999,sona,HdyOjsYrTronewumyoHh,12,18,5,11,21,8,14,22,16,19,13,3,10,7,17,9,15,20,1,4,2,6,xnNpmgQR
3427,1,1,1,3,-999,1,3,3,-999,3,-999,2,-999,4,4,3,-999,2,-999,2,3,2,3,2,2,1,4,4,2,60,28,96,1,2,3,5,5,1,2,2,5,5,1,4,2,4,1,2,1,5,1,4,3,5,3,4,14,8,17,2,6,16,12,1,7,10,9,19,5,18,15,13,11,2,1,-999,18,2,NA,Student,-999,sona,eYwGeUkrTruTqhDSEYEJ,15,20,5,17,2,8,11,21,16,18,14,22,10,7,1,9,12,19,13,4,3,6,mqvAJ91n
517,1,1,1,3,-999,1,4,3,-999,3,-999,3,-999,4,4,4,-999,2,-999,4,1,1,3,3,2,5,1,5,3,31,93,100,1,2,3,2,2,1,1,1,1,4,2,1,2,2,1,1,1,4,2,4,2,5,3,6,4,11,10,2,19,1,12,16,13,8,9,5,14,15,7,18,17,2,1,-999,18,2,NA,Student,-999,sona,tvGkpwXrTruGIMFWikGz,10,20,5,13,22,8,14,12,17,18,2,1,21,7,16,9,15,19,3,4,11,6,NS1YHcvi
657,1,1,1,5,-999,5,5,3,-999,4,-999,3,-999,4,1,4,-999,2,-999,1,3,2,3,5,5,5,5,3,4,82,61,82,1,2,3,4,5,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5,5,5,13,19,14,17,12,2,4,15,7,16,6,18,3,10,9,5,8,11,1,2,1,-999,18,2,NA,n/a,-999,sona,xxNrmEDrTraAATCrjLIr,1,20,5,14,17,8,15,22,3,19,10,2,11,7,21,9,12,18,13,4,16,6,BfCux7Qy
429,1,1,1,3,-999,1,5,3,-999,3,-999,1,i see it and feel it,4,3,4,-999,1,i just kinda get a vibe. like i do the words in head thing but most of my thoughts are more of just a feeling,4,1,2,3,5,4,2,5,3,4,50,70,88,1,2,3,2,2,1,1,1,1,4,4,4,4,4,4,2,4,2,4,4,4,5,10,1,17,4,5,11,15,16,6,2,19,13,14,3,12,18,7,9,8,1,1,-999,18,3,NA,student and childcare worker,The part with the pictures was weird cause some of them I couldn't figure out what word I as supposed to associate the with,sona,pvTMAlZrTrXZOFzfRLQS,14,19,5,11,17,8,2,10,13,20,16,15,1,7,21,9,3,18,12,4,22,6,yduNAfJN
544,1,1,1,5,-999,2,4,3,-999,4,-999,3,-999,4,3,2,-999,2,-999,2,1,1,3,5,4,5,3,4,2,71,79,80,1,2,3,2,4,1,2,1,3,4,3,4,4,1,1,4,1,1,2,4,1,5,13,14,4,1,18,10,15,19,8,6,7,2,3,9,17,5,16,11,12,2,1,-999,19,2,NA,Student,-999,sona,WVmsryOrTriphRCeltnp,3,18,5,1,16,8,12,14,22,19,15,10,2,7,21,9,17,20,11,4,13,6,fbKqS6qy
356,1,1,1,4,-999,3,5,3,-999,3,-999,4,-999,3,5,4,-999,2,-999,3,1,3,3,3,2,5,4,4,4,47,38,74,1,2,3,1,1,2,2,1,1,5,1,5,5,5,2,5,1,5,4,4,3,5,16,5,19,3,7,14,18,17,9,4,12,11,13,10,15,1,8,6,2,2,1,-999,19,2,NA,full time student,-999,sona,OAZssaQrTrNQhfEmSEsY,16,20,5,14,10,8,15,22,17,19,11,13,2,7,21,9,3,18,1,4,12,6,y1Ud0IvQ
733,1,1,1,5,-999,4,5,3,-999,3,-999,2,-999,4,2,4,-999,2,-999,1,3,2,3,4,4,5,4,4,2,49,70,71,1,2,3,4,2,4,2,3,5,4,2,4,2,4,2,4,2,4,4,5,4,5,2,10,6,18,9,3,1,12,4,11,8,19,5,15,16,14,7,17,13,2,1,-999,19,2,NA,Student,-999,sona,ILrJlcorTrnnhTVFgQet,11,19,5,1,21,8,15,12,22,18,3,10,2,7,13,9,17,20,14,4,16,6,hRiDYGB2
368,1,1,1,5,-999,2,4,2,-999,4,-999,3,-999,4,3,4,-999,2,-999,3,1,1,3,2,3,1,3,3,3,39,30,49,1,2,3,5,3,4,4,4,3,2,3,4,3,2,4,3,4,5,4,4,2,5,14,5,11,8,12,9,19,1,7,16,2,10,6,17,15,18,13,3,4,1,0,Chinese,20,5,undecided,student,-999,sona,VvodQrErTrANArygAKDc,1,20,5,12,2,8,15,13,14,18,3,10,21,7,11,9,22,19,16,4,17,6,8yyEgSuX
738,1,1,1,5,-999,2,5,3,-999,3,-999,1,I remember more of the actions that my friends were doing more than the conversation itself. Thinking about the actions they were doing usually is what helps me remember what the conversation was about.,4,2,3,-999,1,"Thinking in ideas means to me that I organize my thinking as if I take mental notes and then combine all the notes in my head to make a coherent thought, plan, or action.",2,1,2,3,5,1,1,2,4,4,81,51,73,1,2,3,1,1,1,1,1,2,5,1,4,4,2,1,2,1,5,2,5,2,5,3,8,6,15,9,14,17,19,12,10,16,2,18,11,4,5,1,13,7,1,1,-999,18,2,NA,Student,-999,sona,ybhkwdHrTrHgQJOKEvKu,12,18,5,21,15,8,17,14,13,19,16,22,10,7,11,9,1,20,2,4,3,6,2dXRa5Zq
510,1,1,1,4,-999,2,3,4,-999,3,-999,3,-999,4,4,4,-999,1,"i just kind of think in short bursts of phrases. Especially when i'm planning out my afternoon, I'll talk aloud often and think like how i'm talking, ""first i will do this, then i will shower, then I will head to bed.""",4,1,2,3,3,2,2,2,4,4,19,49,96,1,2,3,2,2,1,2,1,2,4,2,4,2,5,2,2,2,2,4,4,2,5,3,14,17,10,19,11,9,13,7,16,12,18,15,8,6,1,5,2,4,2,1,-999,20,3,NA,student and CNA,-999,sona,ttVifhErTrAOtoJPpfbL,13,18,5,14,17,8,12,15,1,19,16,11,22,7,21,9,2,20,10,4,3,6,4KFmznfv
640,1,1,1,5,-999,3,4,4,-999,4,-999,2,-999,4,5,4,-999,2,-999,1,2,2,3,5,4,1,2,5,1,82,81,100,1,2,3,1,5,1,3,4,4,5,2,5,5,5,5,5,1,2,5,5,4,5,7,14,6,5,4,12,18,16,1,15,19,8,9,10,3,17,2,11,13,2,1,-999,21,3,NA,student,-999,sona,TgPJtJbrTrfIpwJIdtDv,2,19,5,1,3,8,11,16,10,18,22,12,21,7,17,9,14,20,13,4,15,6,7eDZS0g9
536,1,1,1,4,-999,3,4,4,-999,4,-999,3,-999,4,3,4,-999,2,-999,4,2,2,3,5,3,2,4,5,3,60,8,19,1,2,3,2,4,3,4,4,3,4,2,4,4,5,3,4,1,4,5,4,4,5,3,10,17,6,7,2,18,16,14,1,11,13,4,9,15,5,8,12,19,1,0,Mandarin,18,2,NA,College Student,-999,sona,ntWvuKQrTrsNoBGzBVNa,2,20,5,11,12,8,15,17,3,19,1,16,13,7,14,9,22,18,10,4,21,6,gmTxt8dp
335,1,1,1,5,-999,4,5,4,-999,4,-999,4,-999,4,5,4,-999,2,-999,4,1,2,3,5,5,1,2,4,2,72,51,58,1,2,3,2,4,1,5,4,4,5,2,4,4,5,1,5,4,4,5,5,4,5,14,12,8,1,2,6,3,11,9,10,16,17,13,15,7,19,5,4,18,2,1,-999,18,2,NA,-999,-999,sona,cJxJXXCrTrZhHGQxNzWs,15,18,5,14,22,8,10,3,12,20,11,17,1,7,21,9,16,19,2,4,13,6,Ki4GHif7
564,1,1,1,5,-999,3,4,3,-999,3,-999,2,-999,3,2,4,-999,1,"Sometimes when I think of an idea, I will self-respond to my own idea, kind of like a conversation, however the side coming up with the idea isn't its own perspective, so therefore it doesn't seem like a conversation to me.",4,1,2,3,3,2,4,2,5,2,50,81,19,1,2,3,2,4,1,2,1,2,3,3,5,3,4,1,3,2,4,4,4,1,5,15,14,11,2,9,7,8,5,4,13,17,18,3,12,6,16,1,19,10,1,1,-999,18,2,NA,Full-Time Student,-999,sona,TapiMzYrTrdPbNmVohzP,14,20,5,10,2,8,3,17,13,19,21,22,15,7,1,9,16,18,11,4,12,6,qkCSFiGm
675,1,1,1,5,-999,4,4,5,-999,5,-999,4,-999,4,5,4,-999,2,-999,5,2,3,3,5,5,1,4,5,4,93,71,84,1,2,3,1,2,2,4,2,1,5,1,5,2,5,1,5,1,5,5,5,5,5,10,2,4,14,8,12,9,15,16,3,5,18,1,13,17,19,7,11,6,2,1,-999,18,3,NA,student,-999,sona,ZNJFMsZrTrkOSmxPXTuW,12,20,5,1,17,8,3,13,10,18,22,2,14,7,21,9,16,19,11,4,15,6,Po8DLpvd
937,1,1,1,4,-999,2,4,2,-999,2,-999,2,-999,4,5,2,-999,2,-999,4,1,2,3,4,4,1,3,5,4,75,60,85,1,2,3,4,5,1,2,1,5,5,4,5,5,5,1,5,2,2,2,5,5,5,10,13,14,4,8,7,9,6,19,16,11,3,2,17,1,12,15,5,18,2,1,-999,21,4,Liberal arts transfer program,Waitress and photographer,"That was fun to think about! I live alone for the first time in my life and I've noticed talk to myself in my head quite a bit. I enjoy talking out loud to myself sometimes. If someone really funny or crazy happens when I'm watching something I respond outloud occasionally. I think I do this more when I watch youtube because it can feel like the person is talking directly to me. I think I talk back more when I (allegedly) smoke weed. I think I talk out loud more in general when I allegedly have thc in my system. I love being around people but I rarely feel lonely even though I'm seeing people a lot less now that I live alone. I wonder if the way I have conversations with myself is part of the reason I don't get lonely? I really enjoy my own company and find myself quite funny. When I am sad/anxious/lonely I like to imagine myself holding me (sometimes kid me) and kissing my own forehead and telling myself it will all be okay. It works really well for me. Also, growing up my parents weren't super strict and I've always been my harshest critic so I wonder if that's why I never hear their voices saying stuff to me?",sona,UymiJiZrTrjLlVeTOvDd,13,19,5,12,3,8,21,11,14,18,2,15,16,7,10,9,17,20,1,4,22,6,U8Rxi9rz
8479,1,1,1,4,-999,3,4,4,-999,4,-999,3,-999,4,4,4,-999,1,It's like a combination of all of my senses,4,1,3,3,4,4,2,4,4,5,83,60,64,1,2,3,2,5,4,5,4,5,5,5,4,5,2,5,5,2,5,5,4,2,5,7,6,13,4,12,17,3,16,1,8,14,5,11,10,18,2,19,15,9,1,1,-999,18,3,NA,Student,-999,sona,ItXQHmnrTrJooWskbqep,11,20,5,12,21,8,16,10,13,18,2,1,17,7,3,9,15,19,22,4,14,6,WewWn58j
229,1,1,1,3,-999,2,4,3,-999,3,-999,3,-999,4,4,4,-999,2,-999,3,1,2,3,4,2,5,2,5,2,69,84,85,1,2,3,4,2,3,4,4,2,4,4,3,2,3,4,3,5,1,3,3,1,5,3,2,1,16,9,13,4,10,15,12,5,17,11,6,18,19,7,14,8,1,1,-999,19,2,NA,Student,-999,sona,EKqeIWRrTrZzPrOsRWON,17,20,5,11,10,8,15,1,12,19,21,13,2,7,14,9,3,18,16,4,22,6,8Mnv01S8
546,1,1,1,5,-999,3,4,3,-999,4,-999,3,-999,4,4,2,-999,2,-999,1,2,1,2,5,5,1,4,5,2,81,39,100,1,2,3,5,2,1,4,2,4,4,2,5,4,5,1,2,1,5,1,5,5,5,14,13,12,4,16,17,2,19,15,6,5,18,8,3,10,11,1,7,9,1,1,-999,19,2,NA,Waiter,-999,sona,MECPELorTrSqzxBOGREA,2,19,5,16,15,8,11,17,14,18,21,22,12,7,10,9,13,20,3,4,1,6,Ds5BnIYz
