"","strategy_free_ans","high_low_verbal","talk_out_loud","worker_id","n","experiment"
"1","All I could do is focus and try to memorize the images so I could more quickly associate them with the animal type","high_verbal","No","A1F9KLZGHE9DTA",200,"same_different"
"2","As each set of images appeared I repeated either ""exact"" or ""animal"" to myself in my head to remind me which one I was deciding, exact animal or animal category.","low_verbal","No","A12HZGOZQD5YK7",200,"same_different"
"3","For this? I just compared the two figures.","low_verbal","No","A2H2LO1OOF8R5N",200,"same_different"
"4","I didn't really have a strategy on this one. Just tried to watch the pictures and choose as quick as I could.","low_verbal","No","A2AAFWAAS9C1QC",200,"same_different"
"5","I didn't really have one to be honest.","high_verbal","No","AWAW665TQQP2F",200,"same_different"
"6","I don't think I really used a strategy, I mainly just waited for the shapes to appear and then hit the button. Occasionally I got mixed up because of size discrepencies.","high_verbal","No","A337X6ZE9WIIU7",200,"same_different"
"7","I got into the zone so to speak. I don't know how to explain it.","low_verbal","No","AMNUNZ65OSTFO",200,"same_different"
"8","I had no strategy for this task honestly","high_verbal","No","A1RKGN3VY39TM1",200,"same_different"
"9","I just compared them.","high_verbal","No","AT6OT5K5Z4V0J",200,"same_different"
"10","I just paid close attention to the outlines.","low_verbal","No","A2OVWCQ4B9AHFY",200,"same_different"
"11","I really didn't have a strategy, I was just looking at the pictures and going with what my eyes told me.","low_verbal","No","80446",197,"same_different"
"12","I said out loud what animal it was.","high_verbal","Yes","77837",200,"same_different"
"13","I spoke the animal in my head on the cat/dog portion","high_verbal","No","A2WDF40FA670T9",200,"same_different"
"14","I talked to myself in my head while solving these problems. It helped me to keep a rhythm of wheter I was looking at a cat or dog. I also tried to overlap the pictures in my mind to see if they matched.","high_verbal","No","AKR9067Q09RZS",200,"same_different"
"15","I thought ""dog"" or ""cat"" as a voice in my head and swore out loud whenever I got something wrong","high_verbal","Yes","79970",200,"same_different"
"16","I thought t myself are they identical when they needed to be identical, and are they the same animal when they needed to eb the same animal and clicked the corresponding button accordingly","high_verbal","No","A38ZV8LBZ034IZ",200,"same_different"
"17","I tried to link the conditions to each button in my mind.","high_verbal","No","80016",199,"same_different"
"18","In my head I said ""same"" or ""different"" before I pressed the arrow key.","high_verbal","No","77593",200,"same_different"
"19","Just compared the images as they appeared.  The harder thing was staying focused towards the end of the task.","low_verbal","No","A8C3WNWRBWUXO",200,"same_different"
"20","Just take a quick second to process if it’s a cat or dog","low_verbal","No","79437",193,"same_different"
"21","just trying to be observant of the two pairs.","high_verbal","No","A1M64R8HPYNNZA",199,"same_different"
"22","Looked at the tails usually","low_verbal","No","79178",200,"same_different"
"23","mental notes","high_verbal","No","A3T01NM4993LZE",200,"same_different"
"24","N/A","high_verbal","No","77815",199,"same_different"
"25","N/A","low_verbal","No","79580",200,"same_different"
"26","na","high_verbal","No","A34LSCB90T5KYE",199,"same_different"
"27","no","high_verbal","No","78471",200,"same_different"
"28","no","high_verbal","No","A1LRJ4U04532TM",198,"same_different"
"29","no","high_verbal","No","A38OPVI04AH4JG",200,"same_different"
"30","no","high_verbal","No","AXPZAP62ZYWP8",200,"same_different"
"31","no","high_verbal","Yes","A2MOKIEQZ0OF2M",200,"same_different"
"32","no","low_verbal","No","79171",198,"same_different"
"33","no","low_verbal","No","A10JXOU89D5RXR",200,"same_different"
"34","no","low_verbal","No","A1CFMY4CEYOM8Y",197,"same_different"
"35","no","low_verbal","No","A1PUSSRD8P5HHH",200,"same_different"
"36","no","low_verbal","No","A26RO8GGTQAXGG",200,"same_different"
"37","no","low_verbal","No","A289D98Z4GAZ28",200,"same_different"
"38","no","low_verbal","No","A3F90N8YVKJ4I7",199,"same_different"
"39","No","high_verbal","No","78938",199,"same_different"
"40","No","high_verbal","No","A1JJYY622DGE5L",200,"same_different"
"41","No","low_verbal","No","A26BQ33MHKVYFB",200,"same_different"
"42","No particular strategy.","high_verbal","No","ARWF605I7RWM7",200,"same_different"
"43","No there is not.","low_verbal","No","A2WX434EAQOE29",200,"same_different"
"44","no_answer","high_verbal","No","77543",200,"same_different"
"45","no_answer","high_verbal","No","78304",200,"same_different"
"46","no_answer","high_verbal","No","78422",191,"same_different"
"47","no_answer","high_verbal","No","79390",200,"same_different"
"48","no_answer","high_verbal","No","79548",200,"same_different"
"49","no_answer","high_verbal","No","A1CB72B51L7TKE",100,"same_different"
"50","no_answer","high_verbal","No","A26UIS59SY4NM6",200,"same_different"
"51","no_answer","high_verbal","No","A2PUL3ZDXOW0VZ",200,"same_different"
